	Regulon	Size	NES	p.value	FDR	Ledge
THAP1	THAP1	45	-0.43	0.669	0.802	WDR7, UBA52, YY1, TMEM79, + 3 genes
HNF4G	HNF4G	79	-0.56	0.576	0.722	SECTM1, TINF2, LTB4R, IPO4, + 19 genes
POLR3A	POLR3A	25	-0.6	0.546	0.693	SIT1, RPS29, WBP4, POLR3E, + 5 genes
ID1	ID1	25	-0.65	0.513	0.668	SMARCB1, STAT3, NANOG, SMARCA4, JUN
MAPK1	MAPK1	27	-0.67	0.505	0.667	ZBTB7A, NRF1, SP1, STAT1, + 8 genes
SMARCA4	SMARCA4	29	-0.71	0.479	0.641	UNK, ZNF280A, TLCD1, TUBB, + 10 genes
REST	REST	69	-0.76	0.45	0.624	SYT5, STXBP5L, SVOP, SMPD3, + 29 genes
SP1	SP1	85	-0.78	0.436	0.617	TINF2, WWOX, USP5, ZNF280B, + 18 genes
FLJ39582	FLJ39582	30	-0.79	0.43	0.617	GTF2B, ZNF263, FOSL1, NRF1, + 10 genes
SIX5	SIX5	107	-0.83	0.407	0.603	ZNF444, TRAF7, TMEM102, USP5, + 25 genes
BCLAF1	BCLAF1	140	-0.84	0.4	0.603	TAF12, H3F3B, TBP, DENND2D, + 37 genes
TAF1	TAF1	91	-0.89	0.373	0.577	ZNF398, ZBTB4, TAF1D, UCHL5, + 27 genes
HDAC2	HDAC2	84	-0.93	0.354	0.577	MAPK1, ZNF341, QRFP, MSH5, + 31 genes
BDP1	BDP1	73	-0.94	0.345	0.577	CEBPB, TIA1, BRMS1, POLR3E, + 21 genes
MYC	MYC	330	-0.97	0.331	0.575	ZNF595, RBM3, TRPM5, RPL14, + 126 genes
HSF1	HSF1	49	-1.02	0.308	0.554	TCP1, PSMB5, HSPD1, HSPA1B, + 25 genes
YY1	YY1	34	-1.05	0.292	0.545	ZNF764, ZNF350, ZNF524, ZNF688, + 13 genes
AIF1L	AIF1L	32	-1.08	0.28	0.533	XRCC4, JUND, BDP1, BCL3, + 16 genes
ELK4	ELK4	86	-1.1	0.272	0.528	LOC402377, MRPL10, RBM3, PDCD6, + 35 genes
GABPA	GABPA	340	-1.16	0.248	0.522	INTS12, PCID2, TAF12, NUDCD3, + 91 genes
CTCFL	CTCFL	139	-1.2	0.231	0.497	PI4KA, MAP2K1, ZNF280A, HPCA, + 60 genes
GTF2F1	GTF2F1	77	-1.22	0.224	0.497	HIST1H2BF, HSPA1B, MRPL40, HIST2H2AC, + 34 genes
SETDB1	SETDB1	73	-1.22	0.224	0.497	ZNF263, ZNF20, ZNF502, ZNF501, + 26 genes
EP300	EP300	370	-1.26	0.208	0.497	HSPD1, IL1RN, HSPA1B, YPEL1, + 177 genes
BCR	BCR	49	-1.33	0.185	0.482	GTF2B, ZNF263, CTCF, ZBTB7A, + 21 genes
DGCR8	DGCR8	26	-1.38	0.169	0.465	MYC, SIRT6, ETS1, ZNF263, + 12 genes
ABL1	ABL1	29	-1.61	0.107	0.378	ZNF263, FOSL1, NRF1, GTF2F1, + 13 genes
CRKL	CRKL	37	-1.7	0.089	0.339	GTF2B, ZNF263, CTCF, ZBTB7A, + 19 genes
NRF1	NRF1	184	-1.72	0.086	0.339	TBC1D5, PCIF1, SNHG1, USO1, + 77 genes
CTBP2	CTBP2	139	-1.83	0.067	0.302	TFAP2A, HOXD9, NKX2-5, FOXA2, + 98 genes
CTCF	CTCF	989	-1.92	0.055	0.292	PDS5A, INTS7, VTA1, S100A9, + 451 genes
BRF2	BRF2	28	-1.98	0.048	0.292	YPEL1, PI4KA, ZNF280A, MAPK1, + 15 genes
TBP	TBP	27	-2.04	0.041	0.271	THAP1, ZNF280A, TRIM7, ZBTB4, + 12 genes
NFYB	NFYB	156	-2.06	0.039	0.271	TMEM183A, NPHP4, PIF1, PDP2, + 90 genes
E2F4	E2F4	188	-2.21	0.027	0.239	KIF20A, YPEL1, MRPL40, HIST1H2BM, + 116 genes
HNF4A	HNF4A	139	-2.24	0.025	0.239	TJAP1, TATDN3, STARD7, ID1, + 80 genes
SMARCB1	SMARCB1	31	-2.26	0.024	0.239	ZNF718, ZNF131, UNK, ZNF595, + 20 genes
SRF	SRF	59	-2.93	0.00334	0.0661	ZMIZ2, SYNJ2, YPEL1, ZNF280A, + 30 genes
PBX3	PBX3	127	-3.12	0.00182	0.06	RPLP0, RFX1, ZNF555, RAB5B, + 94 genes
E2F1	E2F1	344	-3.64	0.000276	0.0254	FAM108C1, RAD51C, INTS7, LRRC8A, + 201 genes
