Name	1	2	3	4	5	6	7	8	9	10
ABCB4	0.001421	0.001397	0.003193	0.0001997	-0.002015	-0.0006235	0.0003111	0.00384	NaN	0.00096
ABCB6	-0.002521	-0.00156	-0.00282	-0.003759	0.002978	0.001413	0.003871	0.001427	NaN	-0.00111
ABCB7	0.003335	0.004778	0.003688	0.002933	-0.0009594	0.001499	0.00214	0.002124	NaN	0.00212
ABCB8	-0.0006244	0.0003851	0.0006494	0.0008308	0.0008118	0.001016	0.002281	0.001022	NaN	0.001212
ABCB9	-0.0001769	0.001678	-0.001367	-0.0007919	0.0003072	0.001171	0.001814	0.001181	NaN	0.0006231
ABCC1	-0.0004122	-0.0004136	-0.001795	-0.002227	-0.0006266	-0.001796	-0.0001525	0.001209	NaN	0.0005764
ABCC10	0.001377	0.002135	0.002406	0.00306	0.001689	-0.001411	-0.0008973	-0.002667	NaN	0.0001689
ABCC2	2.97e-05	0.001132	0.001829	0.001831	-0.000231	0.0004942	0.003578	0.005423	NaN	0.001037
ABCC3	0.003757	0.003253	0.00159	0.002176	-0.0001738	-0.001196	-0.001756	0.0003074	NaN	0.0007988
ABCC4	-0.004766	-0.006613	-0.004588	-0.001116	-0.007557	-0.003313	-0.003022	-0.001136	NaN	-0.002778
ABCC5	-0.006421	-0.0009806	0.005953	0.00755	0.003126	0.004433	0.006209	-0.0003744	NaN	0.001263
ABCC6	0.002326	0.002153	0.001821	0.0001886	0.003778	0.004109	0.001645	0.00259	NaN	-0.0004732
ABCC8	-0.0001684	0.0008809	0.00125	0.001988	0.001507	0.0009904	0.0003756	0.001866	NaN	0.001785
ABCC9	0.0006747	0.001527	0.000714	-0.0006355	0.0004595	0.0005506	0.0006792	0.0024	NaN	0.000423
ABCD1	0.001125	-8.048e-05	-0.0001257	-0.0007342	0.001529	8.2e-05	0.001238	0.0003123	NaN	0.0001728
ABCD2	0.0007929	0.0003082	-0.0004667	-0.00299	-0.0001736	-0.0004596	0.001557	0.00105	NaN	-2.125e-05
ABCD3	-0.004162	-0.004447	-0.004327	-0.0002909	0.002907	0.002892	-0.002738	-0.005023	NaN	-0.001412
ABCD4	0.002048	0.002913	0.003376	0.002736	1.618e-05	0.0001157	0.0006388	0.001059	NaN	0.0008536
ABCE1	-0.008894	-0.01035	-0.01054	-0.00509	-0.006163	-0.00195	-0.0045	0.001287	NaN	-0.002326
ABCF1	-0.006719	-0.005849	-0.004788	-0.00193	-0.003781	-0.003161	0.0005012	-0.002151	NaN	-0.001599
ABCF2	-0.006123	-0.004586	-0.004	-0.003527	-0.003478	-0.002046	-0.001526	0.002142	NaN	-0.0004683
ABCF3	0.004239	0.003322	0.0001532	0.001453	0.002185	0.003067	0.007193	0.001653	NaN	0.001281
ABCG1	0.009466	0.00925	0.008329	0.006379	0.002065	0.004388	-0.0007101	-0.0001387	NaN	0.001237
ABCG2	-0.003639	-0.006612	-0.005844	-0.003377	-8.753e-05	-0.0003354	-0.0005354	0.005593	NaN	-0.002264
ABCG4	0.0004946	0.0005563	-0.0001724	0.0007712	0.001458	0.0006173	0.0003876	0.001448	NaN	-0.0009378
ABCG5	0.002421	0.003261	0.001642	0.002211	-0.0003092	0.0002797	0.001276	-0.0001529	NaN	0.0008259
ABHD10	-0.006859	-0.009623	-0.008349	-0.006521	-0.003907	0.0004045	0.004108	-0.003837	NaN	-0.001925
ABHD11	-0.001585	0.0008852	0.001305	-0.0006979	0.00129	-0.0001717	0.003798	-0.0002273	NaN	-0.0001375
ABHD14A	-0.002727	-0.0005668	0.0001051	-0.001611	0.0009829	0.002335	-0.0007378	0.003095	NaN	0.0005077
ABHD2	0.0003625	0.0002123	-0.000301	-0.0003441	-0.002377	-0.001323	0.002074	0.000791	NaN	-8.544e-05
ABHD3	-0.004537	-0.001253	-0.001337	-0.0008875	1.348e-05	0.000325	0.005064	0.004362	NaN	4.492e-05
ABHD4	0.01536	0.01862	0.01567	0.01787	0.01989	0.002694	0.01747	0.008691	NaN	0.007809
ABHD5	-0.005252	-0.003658	-0.002749	-0.002877	0.0002229	-0.001089	0.0009381	0.004849	NaN	-8.284e-06
ABHD6	-0.002412	0.000184	-0.0006074	-0.001086	6.632e-05	0.003121	0.001803	0.002032	NaN	0.0008781
ABHD8	0.002272	0.002826	0.001844	0.001858	0.0034	0.002696	0.002982	0.00136	NaN	0.001245
ABI1	0.006464	0.008053	0.004118	0.007828	0.005058	0.004069	0.004385	0.0002679	NaN	0.002639
ABI2	0.0006813	-0.0003103	-0.0008306	-0.001828	0.0006067	-0.0001706	7.084e-05	0.00121	NaN	-0.002388
ABI3BP	0.001876	0.001686	-0.001248	-0.003472	-0.0008642	0.001035	0.001549	0.002578	NaN	0.001007
ABL1	-0.004995	-0.005868	-0.001785	-0.002272	-0.001518	-0.001298	0.001426	-0.002867	NaN	-0.001112
ABL2	-0.0002231	-0.0005186	-3.517e-05	-0.001243	-0.001897	-0.002279	0.001377	0.003662	NaN	0.001019
ABLIM1	-0.001206	-0.0007682	0.0006701	0.001788	0.002764	0.002392	-0.001762	-0.002132	NaN	0.0002483
ABLIM3	-0.001717	-0.002059	0.0005159	-0.0028	-0.002661	-0.002899	-0.0002664	0.003709	NaN	-0.001143
ABO	-0.001272	-0.0003611	-0.001172	-0.001355	0.0008582	-0.0001965	4.702e-05	0.000812	NaN	-0.0004854
ABP1	-0.0001134	0.000678	-3.833e-05	-0.002494	-0.001625	0.001048	0.002254	0.00735	NaN	0.0001751
ABR	-0.001988	-0.0006033	0.0002661	0.001555	-0.001811	-0.003171	0.003738	-0.001417	NaN	0.002686
ABT1	-0.0009247	-0.0009778	-0.0003602	0.0004274	-0.001081	-0.0001758	0.0004428	0.001593	NaN	0.001122
ABTB2	-0.001183	-0.002435	-0.002046	-0.0007835	-0.00241	-0.002846	0.0001472	0.0007002	NaN	-0.002539
ACAA1	-0.002274	-2.355e-05	0.0003798	-0.002305	0.001989	0.002706	0.003041	0.002004	NaN	-0.001037
ACAA2	-0.002347	0.001235	-0.0007022	-0.003933	-5.578e-05	-0.002031	0.001664	0.002947	NaN	0.001005
ACACA	-0.008456	-0.006781	-0.006363	-0.005249	-0.001097	-0.0001954	0.0006053	-0.0004682	NaN	-0.003246
ACACB	0.0007921	0.004099	0.002262	8.646e-05	0.001857	0.002504	0.001536	-5.9e-05	NaN	0.002185
ACAD10	0.001929	0.002538	0.001017	0.000417	0.002169	0.003815	0.001706	0.0003884	NaN	0.0004222
ACAD8	0.0006606	0.006858	0.005409	0.003328	0.001004	0.004041	0.002018	0.003976	NaN	-0.0002117
ACADL	-0.000221	-0.002108	-0.0009936	-0.004581	-0.00147	-0.002032	0.0003256	0.001315	NaN	-0.001125
ACADM	-0.003856	-0.003665	-0.002952	-0.00294	-0.001418	0.0009525	-0.004283	-0.001058	NaN	-0.002833
ACADS	0.0005971	0.002203	0.000865	-0.0004509	0.00165	0.00126	-8.128e-05	0.001526	NaN	0.00075
ACADSB	0.002465	0.003096	0.001643	-0.0002615	0.001956	0.003138	0.001336	0.001704	NaN	0.001004
ACADVL	0.005986	0.005129	0.002239	0.005296	0.002278	0.004278	0.0001192	-0.0009316	NaN	-0.0003793
ACAN	0.004904	0.001856	0.0003101	-0.0001392	-0.000344	-0.002764	-0.001234	0.001298	NaN	-0.0004569
ACAP1	0.002544	0.003281	0.0002985	0.001703	0.001974	0.003383	0.004479	0.001107	NaN	-0.0004106
ACAP2	5.321e-05	0.000799	0.0006219	0.002327	0.001876	0.0024	0.0008745	0.0003647	NaN	0.001186
ACAT1	-0.0002724	0.001991	-0.002156	-0.005832	-0.00203	4.358e-05	0.002267	0.001256	NaN	0.002466
ACAT2	-0.01581	-0.01009	-0.00486	-0.007091	0.0001983	0.0007867	0.003733	-0.003971	NaN	-0.001289
ACBD3	0.004091	0.004171	0.002775	0.00241	0.001458	0.0008979	0.005495	0.002966	NaN	6.719e-05
ACBD4	0.005777	0.006236	0.005422	0.00327	0.002721	0.002787	0.003348	0.002089	NaN	0.002692
ACCN1	-0.0008411	0.0003416	-0.0007937	-0.0005318	-0.0008359	-0.0003215	0.0008898	0.0002579	NaN	0.0005069
ACCN2	0.0002889	0.0007339	0.0009254	0.0001928	-0.001518	0.0001843	-0.0002186	0.002233	NaN	-0.0002995
ACCN3	0.00116	0.002538	0.002561	0.001212	0.0003031	0.0008059	0.0007502	0.001265	NaN	0.001861
ACCN4	0.0004285	0.001705	0.001647	0.0004921	-4.238e-05	0.0005854	0.001691	0.001299	NaN	0.001001
ACD	-0.00451	-0.005483	-0.001133	-0.005399	-0.004185	-0.004709	-0.003209	-0.001913	NaN	0.0004993
ACE	0.0006478	-0.0002317	-0.0008686	-0.001038	0.000315	0.0002729	0.0008969	-0.0001902	NaN	0.000575
ACE2	-0.002832	-0.00431	-0.006117	-0.00635	0.003243	-5.939e-05	-0.000159	-0.001237	NaN	-0.002301
ACHE	0.001372	0.002064	0.001036	0.0006169	0.0002999	0.0002365	0.0006156	-0.0001645	NaN	0.0001942
ACIN1	0.0006378	0.00248	0.0004198	-0.002035	0.0004587	0.0001746	0.00149	-0.001242	NaN	0.000413
ACLY	-0.00677	-0.003969	-0.004169	-0.00416	-0.0004846	0.001535	-0.0007976	-0.002082	NaN	-0.001797
ACN9	-0.003427	-0.002168	-0.003029	-0.00279	-0.002319	-0.0005932	-0.003048	0.004296	NaN	-0.0009621
ACO1	-0.005681	-0.003688	-0.00254	-0.001076	-0.002078	-0.000425	-0.0007271	0.001239	NaN	-0.0001429
ACO2	0.0005716	0.0001201	-2.388e-05	6.095e-06	0.0009115	0.002428	0.001203	0.0002824	NaN	0.0001798
ACOT11	-0.0004177	-0.0002591	-0.0007299	-0.0008632	0.0006885	-0.0004116	0.000327	-2.06e-05	NaN	-0.001069
ACOT13	0.002437	0.002475	0.002041	-0.001133	0.002917	0.005001	0.002978	0.001299	NaN	-0.001106
ACOT7	-0.00646	-0.006341	-0.005458	-0.004222	-0.004305	-0.005792	-0.0009578	-0.0003364	NaN	-0.002267
ACOT8	0.001146	0.002554	0.002975	0.002316	0.001922	0.002188	1.697e-05	3.85e-05	NaN	0.0007889
ACOT9	0.0005179	-0.002344	-0.001605	-0.003281	-0.005991	-0.005018	-0.005689	0.002353	NaN	-0.002123
ACOX1	-0.00136	-0.0001069	-0.001081	-0.0003671	0.002201	0.0008956	0.000876	0.0003974	NaN	-0.001843
ACOX2	0.002375	0.002644	0.005859	0.002959	0.001682	0.006149	0.002514	-0.0002678	NaN	4.15e-05
ACOX3	-0.000946	-0.0002888	-0.0007121	-0.0008565	0.001735	0.0005627	-0.001121	-0.001737	NaN	-0.0022
ACOXL	0.0002632	0.0004934	-1.928e-05	-0.001191	0.000141	-0.0003287	0.0008851	0.0008094	NaN	0.0002015
ACP1	-0.002497	-0.001438	-0.002449	-0.001077	0.0003617	0.001916	0.002743	0.00176	NaN	0.000189
ACP2	-0.002316	-0.001158	0.001062	0.003315	-0.0002648	0.0005251	-0.003108	-0.004938	NaN	-0.002136
ACP5	-0.001329	-0.0009493	0.0007681	0.002295	-0.004349	-0.003114	0.004883	-1.977e-05	NaN	-0.000657
ACP6	0.004179	0.00191	0.0006266	-0.001771	0.001612	0.004129	-0.0002734	0.001127	NaN	-0.001611
ACPP	-0.0001722	0.003247	0.005614	0.004508	-0.002564	0.001783	0.005215	0.002549	NaN	0.001401
ACR	-0.0005105	-0.0001496	0.0005882	-0.0001549	0.0001081	-0.0002401	0.0005627	0.001365	NaN	1.052e-05
ACRV1	-0.001888	-0.001698	-0.0009449	-0.001534	-0.0001816	1.439e-05	7.664e-05	0.0004969	NaN	-0.0005908
ACSBG1	-0.0002512	-0.000157	0.001081	0.0001658	0.001176	0.0009326	0.002939	-9.304e-05	NaN	0.0002897
ACSBG2	-0.0007192	8.416e-05	0.0007357	0.0005643	-0.0001543	-4.784e-05	0.0001124	0.0005896	NaN	0.0004426
ACSF2	0.002135	0.004139	0.002988	0.002463	0.005001	0.005795	0.003055	-0.002705	NaN	-0.0008083
ACSL1	-0.006317	-0.00314	-0.0013	-0.002475	0.001488	0.004494	0.007665	0.00107	NaN	-0.0006207
ACSL3	0.001035	-0.002418	-0.003728	-0.004565	-0.003352	-0.002522	0.002645	0.001231	NaN	-0.00123
ACSL4	6.862e-05	-0.0002099	-0.002201	-0.0007648	0.001298	0.002315	0.001961	0.0003479	NaN	-0.0009317
ACSL5	0.0002541	-0.003208	-0.004169	0.001714	0.004454	0.004973	-0.003489	-0.006225	NaN	-0.004379
ACSL6	0.0003897	0.00107	0.0005487	-0.001195	0.001061	0.0002588	0.001049	0.0007423	NaN	-0.0006058
ACSM1	-0.002333	-0.002259	-0.0002284	-0.0002868	-0.0009733	0.0002765	0.001322	0.0008318	NaN	9.847e-05
ACSM3	-0.001024	-0.00216	-0.002195	-0.002298	-0.002687	0.001889	-0.001323	-0.002165	NaN	-0.001506
ACSM5	0.003555	0.003967	0.003595	0.001324	0.0002379	0.001659	0.001398	0.003448	NaN	0.000251
ACSS3	0.003823	0.005665	0.004156	-0.0003249	0.002968	0.002956	0.004605	0.007759	NaN	0.001122
ACTA1	-0.003156	-0.003199	-0.00603	-0.002371	0.002609	-0.001216	-0.004239	-0.005643	NaN	-0.004964
ACTA2	0.002418	0.0005801	0.002392	-0.0002624	0.0006302	-0.005176	-0.001191	0.0001275	NaN	0.002325
ACTB	-0.0019	-0.002588	-0.001942	-0.001256	-0.0004644	-0.001181	3.649e-05	-0.0002947	NaN	-0.000452
ACTC1	-0.007277	-0.007258	-0.006582	-0.00316	0.0032	-0.0002813	-0.006334	-0.003022	NaN	-0.004114
ACTG1	0.0002627	-0.00102	-0.001641	-0.0006624	4.598e-05	-0.0005955	0.0009279	0.001364	NaN	-0.000909
ACTG2	-0.008325	-0.008549	0.0004099	-0.00329	0.002506	-0.005527	-0.003696	0.0002673	NaN	0.0001344
ACTL6A	-0.004827	-0.004675	-0.003178	-0.001823	-0.0001697	0.00111	-0.0009489	0.001023	NaN	0.0003279
ACTL6B	-0.0004217	0.0004267	0.0004342	0.001642	-7.662e-05	-0.0009038	-0.0006233	0.0006352	NaN	0.001601
ACTL7A	-0.0009473	-0.0003327	0.0006694	-0.0001374	-0.0008251	-0.0008644	-0.001326	0.001154	NaN	0.0002904
ACTL7B	-0.001731	-0.0003644	-0.0006479	-0.000572	0.0005676	0.0005261	0.0003182	0.001182	NaN	0.0002163
ACTL8	0.0006411	0.00212	-0.0005678	-0.0005987	0.002195	0.002371	0.001174	0.001389	NaN	0.0009833
ACTN1	0.0001449	-0.005872	-0.005278	-0.003059	-0.005731	-0.01075	-0.0086	0.001903	NaN	-0.0008375
ACTN2	-0.001049	-0.001178	-0.002407	-0.003269	-0.001052	-0.0004759	-0.002451	8.199e-05	NaN	-0.002652
ACTN3	-0.0005608	0.0001104	0.0007015	-0.000252	-0.0004649	-0.001488	-0.00154	-0.00133	NaN	-0.001555
ACTN4	-8.561e-05	7.257e-05	0.001229	-0.0002637	-0.0005486	-0.0009685	-0.0002419	-0.00124	NaN	-0.0005154
ACTR10	0.001692	0.002861	0.0038	0.002798	0.002816	0.001531	0.0008282	0.001879	NaN	0.001225
ACTR1A	-0.005642	-0.003798	-0.001191	-0.001144	-0.0004502	-0.001469	-0.001523	-0.002101	NaN	-0.0004932
ACTR1B	0.001681	0.001561	0.002809	0.001678	0.0004702	0.001643	-0.001537	-0.001483	NaN	0.001676
ACTR2	0.001049	-0.0005248	-0.001188	0.001499	0.004385	0.002797	-0.000902	-0.004804	NaN	-0.001193
ACTR3	-0.0007884	-0.002544	-0.002374	0.0003189	0.001393	-0.0003254	-0.0002626	-0.002607	NaN	-0.001772
ACTR3B	-0.0007103	-0.001197	-3.243e-08	-0.00271	-0.002205	0.001033	-0.000563	0.002461	NaN	-0.001431
ACTR5	-0.002037	-0.001829	-0.002188	-0.001774	-0.001733	-0.0003512	0.0008463	0.001441	NaN	-4.905e-06
ACTR6	-0.0003461	0.0002674	-0.0008716	0.002579	0.002382	0.003378	0.002667	-0.00236	NaN	0.001047
ACTR8	-0.0007254	0.000213	0.002046	-0.0008552	0.0004958	0.001174	0.0003677	0.0007643	NaN	5.683e-05
ACVR1	0.006625	0.009758	0.002974	0.003055	0.003501	0.003008	0.002033	0.004238	NaN	0.003344
ACVR1B	0.0007969	0.002113	0.002271	0.001499	-0.0008191	-0.0001393	-0.0002871	0.00158	NaN	2.74e-05
ACVR2A	0.001769	0.002658	-0.0007434	-0.0007787	0.003131	0.002037	9.756e-05	0.001139	NaN	0.0005773
ACVR2B	0.002824	0.004084	0.004971	0.001941	-0.0005008	-0.0005299	-0.0006898	0.0007859	NaN	0.001733
ACVRL1	-0.0004175	-0.0002498	-0.00037	-0.003133	-0.000161	-0.001366	-0.0002892	0.0007194	NaN	-0.00181
ACYP1	-0.0008826	-0.00145	-0.003425	-0.001047	-0.001884	-0.0003479	0.0005685	-9.114e-05	NaN	8.708e-06
ACYP2	0.002707	0.004272	0.005424	0.005787	0.004748	0.005446	-0.0007425	0.0002407	NaN	0.00105
ADA	0.003867	0.003543	0.003279	0.001276	0.003257	0.004806	0.0004708	-0.0006588	NaN	-7.13e-05
ADAM10	0.0041	0.003883	0.004277	0.006699	0.001883	-0.002672	-0.00816	-0.01207	NaN	0.0006826
ADAM11	-0.0009842	-0.0008844	0.0009487	-0.0003455	-0.0004372	-0.001236	-0.001971	0.0002854	NaN	0.0001701
ADAM12	-0.0008166	-0.001277	0.0001123	8.155e-05	0.0003883	-0.001254	-0.0005637	0.0001459	NaN	0.0003249
ADAM15	0.001549	-0.0009891	-0.002172	-0.001397	0.0007209	0.00103	-0.001195	0.0005077	NaN	0.0004199
ADAM17	-0.0001213	0.001182	-0.0004819	-3.323e-05	0.00307	0.00162	0.002418	-0.000582	NaN	-2.22e-05
ADAM18	-0.0004377	-0.0003421	-0.0002504	-0.0009465	-0.0002643	-4.852e-06	0.0001594	0.001122	NaN	7.35e-05
ADAM19	-0.0002419	-0.00109	-0.0006267	-0.003279	-0.0007326	-0.002092	-0.001725	-0.0004681	NaN	-0.001446
ADAM2	-0.001814	-0.0005558	-0.00177	-0.002318	-0.0007311	-0.001875	0.0008993	0.001162	NaN	0.0005239
ADAM20	0.001418	0.001275	0.0003676	-0.0001269	0.0004083	0.0006595	0.000725	0.001036	NaN	-3.933e-05
ADAM22	-0.0001171	-0.000383	0.000132	-0.001559	-0.0001379	-0.0002264	0.0006447	0.001767	NaN	-5.707e-05
ADAM23	-0.0005965	-0.0003765	0.001109	0.0004743	0.001822	0.002419	0.002315	0.003009	NaN	-0.0008977
ADAM28	0.0008547	0.001507	0.001234	0.0005442	-0.001321	0.0003926	0.0004547	-0.0007033	NaN	-0.0002985
ADAM29	-0.0005795	0.000455	0.0004286	-0.0001735	-0.0006192	-0.0002214	0.0007859	0.0005897	NaN	0.0003671
ADAM30	0.0007933	0.001418	0.0006579	2.964e-05	0.0006797	0.001112	0.00165	0.0007469	NaN	0.000301
ADAM3A	-0.0003327	-6.775e-05	-7.702e-05	-0.0008998	0.000355	-0.0004831	0.0005399	0.0007605	NaN	0.0006408
ADAM5P	-0.0002184	-0.0001016	-0.0001602	-0.001109	-0.0005214	-0.0003982	-0.0002527	0.0009661	NaN	-0.0004459
ADAM7	0.0003316	-0.0001536	0.0004341	-3.054e-05	0.0002146	-0.0007853	0.001257	8.234e-05	NaN	-0.0002841
ADAM8	0.00373	0.003089	0.001205	-0.0006326	-0.000437	0.0001183	0.00182	0.002305	NaN	0.001747
ADAM9	0.0002929	-0.001522	-0.0002665	0.002243	-0.003322	-0.002732	-0.002899	-0.0008749	NaN	0.0004977
ADAMDEC1	-0.003301	-0.002083	-0.001562	0.001729	-0.002356	0.001712	0.0004786	0.002472	NaN	0.001947
ADAMTS1	-0.002676	-0.002713	-0.001246	0.004113	0.003459	0.001534	0.0006159	-0.0003288	NaN	0.001987
ADAMTS12	-0.0009422	-0.001706	-0.0007283	-0.0006105	-0.0008472	-0.001358	-0.0002902	-0.000174	NaN	0.0002157
ADAMTS13	0.0003627	0.001008	0.001281	0.00118	0.0006688	0.0004351	-0.0003073	0.0003735	NaN	0.001108
ADAMTS2	-8.843e-05	-0.0002526	0.0001741	0.0001417	0.002188	0.001185	0.001688	0.002379	NaN	0.001837
ADAMTS20	-0.0004333	-0.0001541	-0.0003272	-0.001163	0.0001105	-0.0003661	0.0008182	0.0006705	NaN	8.83e-05
ADAMTS3	0.001148	0.0004502	-0.0005559	-0.0024	-0.001095	-0.001179	-0.001021	0.002151	NaN	0.0008971
ADAMTS5	-0.002059	0.002118	0.003258	0.005425	0.0007541	0.003074	0.003414	0.006897	NaN	0.002952
ADAMTS6	0.0002691	0.0005963	0.0006377	-0.0005064	-0.0003425	-0.0002487	0.0008361	0.001945	NaN	0.0005679
ADAMTS7	0.0008798	0.001339	0.0006523	0.000415	0.001111	0.001563	0.002237	0.00118	NaN	0.001293
ADAMTS8	2.941e-05	-0.0002392	-0.0012	-0.001124	0.0003616	-0.0007006	0.0004693	0.0002385	NaN	0.0006449
ADAMTS9	-0.002205	-0.003406	-0.00161	-0.003058	-0.001343	-0.001149	-8.486e-07	0.002601	NaN	0.0003759
ADAMTSL2	0.002941	0.004525	0.003093	0.001305	0.002752	0.001909	0.003385	0.0009273	NaN	0.002198
ADAMTSL3	0.001758	0.0014	-0.0001649	-0.0009065	-0.0001724	-0.0002748	-0.002022	0.00234	NaN	0.0001576
ADAMTSL4	-0.0003306	-0.0002817	0.0007637	0.000233	0.000433	-0.0006091	-0.0002846	0.0004215	NaN	-0.001341
ADAP1	0.001298	0.001794	0.0006317	0.00108	-0.0008952	0.0004427	0.002772	0.002335	NaN	0.002481
ADAP2	0.003149	0.002268	0.002997	0.003173	0.002041	0.002584	0.003026	0.004225	NaN	0.001403
ADAR	0.004353	0.001995	-0.0007853	0.0003444	0.0038	0.002576	0.003191	-0.003222	NaN	0.001196
ADARB1	0.0004188	0.002868	0.003075	0.001267	0.0001683	0.0004174	-0.0006917	0.0009966	NaN	0.001074
ADARB2	0.0007612	0.001138	0.001039	-0.0005069	0.0001365	0.001207	0.0005512	0.0007878	NaN	-0.0001414
ADAT1	-0.003947	-0.001175	-0.0009675	-0.0008682	0.0005676	0.004069	0.0001536	0.002929	NaN	0.0001353
ADCK2	-0.001398	-0.002748	-0.00347	-0.0033	-0.0007337	-0.0005766	-0.0002704	0.001707	NaN	-0.0004735
ADCK3	0.002757	0.005462	0.0009855	-0.001861	-0.0001935	-0.002205	0.0002552	-0.001589	NaN	0.003774
ADCK4	-4.368e-05	0.0007456	0.0003888	-0.001533	8.852e-05	0.0001458	0.001572	0.001541	NaN	4.317e-05
ADCY1	0.0006423	0.001478	0.002032	0.002183	-0.0003144	-0.0002155	-0.0009881	0.0002614	NaN	0.00126
ADCY10	-0.0003175	-0.0001241	-0.0002127	-0.00104	0.0005195	0.0004998	0.00128	0.000886	NaN	0.0001583
ADCY2	0.0002337	1.621e-05	-0.001097	-0.001183	0.0009307	-0.0001142	0.001035	0.001195	NaN	-0.0005132
ADCY3	0.0006905	-0.0005033	-0.001133	-0.002225	-0.003648	-0.002439	-0.0001057	0.001138	NaN	0.0002112
ADCY6	0.003422	0.005421	0.004748	0.003516	0.003676	0.003406	0.001836	0.001693	NaN	0.002108
ADCY7	0.000561	-0.004294	-0.007703	-0.002115	0.002834	0.001829	0.004169	-0.002949	NaN	-0.002322
ADCY8	0.001595	0.003339	0.003051	0.002978	0.001283	0.0002966	0.003066	0.001132	NaN	0.001723
ADCY9	0.001233	0.002996	0.002642	0.0002839	0.001515	0.001879	0.000501	0.0005732	NaN	0.001678
ADCYAP1	-0.001933	0.0008842	0.0008383	-0.0006703	-0.0004131	-0.0005842	0.0003417	0.002437	NaN	0.0005332
ADCYAP1R1	0.00115	0.0009242	0.0001069	-0.0004961	0.000911	0.001768	0.001647	0.001899	NaN	0.0003846
ADD1	0.003369	0.00264	0.001424	-3.039e-05	0.0008478	-0.0002786	-0.0004435	-0.002765	NaN	0.000999
