	Regulon	Size	NES	p.value	FDR	Ledge
NR1I2	NR1I2	54	1.79	0.073	0.241	C11orf54, TMEM218, CCDC146, FOXO4, + 40 genes
TIPARP	TIPARP	151	1.79	0.073	0.241	MTA2, HOMEZ, KIAA1826, NRP2, + 126 genes
FOXS1	FOXS1	119	1.79	0.074	0.242	DAK, CCDC90B, ZNF253, THOC2, + 94 genes
PARP12	PARP12	83	1.79	0.074	0.242	TMPO, ETV7, SYTL3, ZNF714, + 59 genes
ZBTB25	ZBTB25	79	1.79	0.074	0.242	IFNAR2, ARHGAP26, SLC24A4, ZFYVE16, + 58 genes
ST18	ST18	101	1.78	0.075	0.244	KIAA1598, RAB2B, ARRB2, LONRF3, + 86 genes
SNAI2	SNAI2	76	1.77	0.076	0.246	ZNF486, THYN1, COL6A1, BCL9, + 65 genes
FOXD4L6	FOXD4L6	25	1.77	0.077	0.247	STX7, MYBL2, CD40LG, CGN, + 20 genes
STAT5A	STAT5A	263	1.76	0.078	0.248	MTA2, GRHL1, MFAP3L, SLC44A1, + 244 genes
HIVEP2	HIVEP2	102	1.76	0.079	0.249	PHB2, ATP2A3, SH3TC1, MLLT3, + 82 genes
NR3C1	NR3C1	169	1.76	0.079	0.249	TMEM30A, PPM1G, CHAF1B, PICALM, + 140 genes
PLAGL1	PLAGL1	113	1.75	0.08	0.25	HOMEZ, ARHGAP26, TLR5, ACOX3, + 97 genes
ZBTB44	ZBTB44	62	1.75	0.08	0.25	GPBP1, RDX, SKIV2L2, CBL, + 42 genes
FOXP3	FOXP3	96	1.74	0.081	0.252	OAZ2, GINS1, KLC3, PHB2, + 90 genes
GATA4	GATA4	32	1.74	0.081	0.252	MSL3L2, C21orf129, ACCN2, POPDC3, + 23 genes
BAZ2B	BAZ2B	108	1.74	0.082	0.254	DDT, FCHSD2, FAM8A1, CEP120, + 84 genes
ZNF575	ZNF575	34	1.74	0.082	0.254	ZNF253, NTAN1, TXLNB, SLC27A1, + 25 genes
AHDC1	AHDC1	86	1.73	0.083	0.257	UGP2, ANKRD6, KIAA0556, CCNJL, + 69 genes
ESR1	ESR1	153	1.72	0.086	0.263	GARS, TRIB1, MGC16142, ACN9, + 131 genes
ZFHX3	ZFHX3	118	1.72	0.086	0.263	FCHSD2, FAM8A1, MIDN, DPY30, + 82 genes
EXOC2	EXOC2	151	1.71	0.087	0.265	RAP1GDS1, HHAT, RFFL, PTPRA, + 111 genes
ZNF488	ZNF488	88	1.71	0.087	0.265	SLC47A1, MNX1, ELOVL3, PARP16, + 71 genes
TFEC	TFEC	347	1.7	0.089	0.269	ARHGAP18, MMD, STX7, TMEM30A, + 324 genes
ATF3	ATF3	69	1.67	0.094	0.277	VPS11, HIC2, C22orf30, SLC37A4, + 55 genes
MAFK	MAFK	205	1.67	0.094	0.277	EML3, PHB2, PPM1M, ECD, + 185 genes
RPA2	RPA2	72	1.67	0.094	0.277	HMG20A, EGFLAM, C6orf130, HOXB3, + 39 genes
DMRTB1	DMRTB1	66	1.66	0.096	0.282	FAAH, DAZL, C6orf130, IQUB, + 47 genes
RELB	RELB	267	1.65	0.098	0.287	CYTH1, KHSRP, MTA2, GTF2IRD1, + 245 genes
HLX	HLX	356	1.6	0.11	0.315	LONRF1, VPS11, GINS1, MTFR1, + 313 genes
EBF1	EBF1	119	1.59	0.111	0.317	THOC2, NOL10, BSCL2, CBFA2T2, + 96 genes
VDR	VDR	315	1.58	0.113	0.319	PICALM, NRP2, ARHGAP26, RSPH3, + 280 genes
HES4	HES4	30	1.58	0.114	0.32	ITPKA, MYLIP, TOP1, BSCL2, + 20 genes
JUNB	JUNB	197	1.58	0.114	0.32	ATF6B, TMEM218, ZNF607, RRP1B, + 159 genes
SIM2	SIM2	31	1.58	0.114	0.32	SLC35A1, RAGE, BPGM, USP6NL, + 18 genes
ZNF322A	ZNF322A	71	1.58	0.115	0.32	HMG20A, INTS4, CBL, FAM8A1, + 60 genes
EGR2	EGR2	166	1.55	0.122	0.332	STX7, COLEC12, STAT3, ATF6B, + 150 genes
TIGD3	TIGD3	48	1.55	0.122	0.332	RAGE, DHRS7B, ZSCAN16, CREBL2, + 34 genes
DEPDC7	DEPDC7	75	1.54	0.124	0.336	SKIV2L2, IFRD1, MNX1, SRGAP2, + 62 genes
CBX2	CBX2	165	1.52	0.129	0.346	UBA5, HHAT, IGFBP2, TSPAN6, + 112 genes
CUL1	CUL1	110	1.51	0.131	0.347	HMG20A, EGFLAM, WDR93, PODXL, + 78 genes
MITF	MITF	262	1.51	0.131	0.347	MMD, TMEM30A, ADRA2C, KCNE3, + 229 genes
NR1H3	NR1H3	327	1.51	0.131	0.347	ERC2, SLC44A1, MGAT1, PDCL, + 299 genes
TSC22D3	TSC22D3	207	1.51	0.131	0.347	HIC2, EML3, DDB2, LOC400927, + 176 genes
NKX2-8	NKX2-8	37	1.51	0.132	0.349	TMEM53, STAT3, ZNF238, PCCA, + 19 genes
C20orf194	C20orf194	106	1.5	0.133	0.349	C12orf57, DDX49, WDR18, AHNAK, + 77 genes
CBFB	CBFB	102	1.49	0.135	0.353	PRDM14, CYP4V2, UPF1, C16orf57, + 82 genes
TSHZ2	TSHZ2	106	1.49	0.135	0.353	STAT3, CD320, WDR18, AHNAK, + 82 genes
IRF5	IRF5	358	1.46	0.143	0.368	C2CD2L, BIN2, RIPK1, CDKN1A, + 317 genes
ZNF711	ZNF711	74	1.46	0.143	0.368	YWHAH, RAGE, ASS1, TOB1, + 44 genes
SLC4A10	SLC4A10	75	1.45	0.146	0.375	CDC42SE2, ATF6B, RAB40AL, ANTXR2, + 65 genes
PLEK	PLEK	356	1.45	0.147	0.377	NLRP2, C2CD2L, TNIP1, CDKN1A, + 319 genes
SPI1	SPI1	493	1.44	0.15	0.381	FAM66C, GLRX2, C2CD2L, BIN2, + 440 genes
ETV6	ETV6	275	1.44	0.151	0.381	MEX3D, NRP2, ARRB2, NGEF, + 241 genes
ARNTL	ARNTL	180	1.43	0.152	0.381	APOB48R, TMEM176A, TFEC, BEST1, + 148 genes
FOXF1	FOXF1	104	1.43	0.152	0.381	GUCY1B3, CCDC102B, KIAA1522, GUCY1A3, + 87 genes
SKI	SKI	37	1.43	0.152	0.381	PIGV, ZFHX3, TWF1, NADK, + 29 genes
ZSCAN21	ZSCAN21	68	1.43	0.152	0.381	FZD10, IFRD1, ZNF212, PRDX2, + 39 genes
ZNF337	ZNF337	52	1.43	0.153	0.382	SERBP1, ORAOV1, CCDC25, GTPBP8, + 34 genes
ZNF804A	ZNF804A	101	1.43	0.153	0.382	GIT2, BAMBI, TFEC, RASGEF1B, + 88 genes
JUN	JUN	268	1.43	0.154	0.383	GLRX2, PSCA, NAALADL1, CD58, + 218 genes
PLXND1	PLXND1	130	1.42	0.156	0.384	TLR5, ARHGAP31, ATP6V1B2, TEAD2, + 105 genes
ZNF280C	ZNF280C	60	1.42	0.156	0.384	ALKBH8, ZNF624, RTN4R, ELL, + 42 genes
GMEB2	GMEB2	41	1.41	0.16	0.391	FZD10, C20orf29, CD200, TSGA14, + 18 genes
REPIN1	REPIN1	92	1.4	0.161	0.392	ATF6B, ADAM12, TLR5, SULF2, + 66 genes
YBX2	YBX2	76	1.39	0.166	0.4	SLC35A1, HOXB4, BSCL2, HOXB3, + 57 genes
MAX	MAX	204	1.38	0.167	0.401	APOB48R, SIRT1, GLRX, SPOP, + 180 genes
ELF3	ELF3	37	1.38	0.169	0.404	SLC7A8, DNM3, POPDC3, USP54, + 24 genes
TRERF1	TRERF1	219	1.37	0.171	0.405	ARHGAP18, HOMEZ, PPM1M, NLRP2, + 194 genes
ZNF135	ZNF135	71	1.37	0.171	0.405	TRIM41, KIAA0556, LRTOMT, ZC3H6, + 47 genes
MLX	MLX	47	1.36	0.173	0.408	SERTAD1, BEST1, LSG1, OPA1, + 30 genes
TAX1BP1	TAX1BP1	32	1.36	0.173	0.408	FSIP1, CBL, AASDHPPT, DDX6, + 14 genes
ZKSCAN5	ZKSCAN5	113	1.36	0.175	0.411	MAPKBP1, HMG20A, WDR93, FDPS, + 88 genes
ZNF184	ZNF184	92	1.35	0.176	0.412	HMG20A, FDPS, C6orf165, DCAF4L1, + 66 genes
MEIS1	MEIS1	165	1.35	0.177	0.414	GARS, PRDM14, MCM2, TPST2, + 120 genes
DBP	DBP	128	1.35	0.178	0.414	NAALADL1, RWDD2B, KIAA1755, TSPAN31, + 107 genes
IRF1	IRF1	207	1.35	0.178	0.414	HOMEZ, KCNG3, APOB48R, OSM, + 179 genes
ZNF319	ZNF319	44	1.35	0.178	0.414	C16orf57, DPPA5, GPR55, LRP10, + 31 genes
TERF2	TERF2	54	1.34	0.179	0.414	FOXO1, PROS1, CCDC63, TRAF3IP2, + 44 genes
AKNA	AKNA	96	1.34	0.18	0.415	SH3TC1, DENR, EED, FGD3, + 72 genes
MKRN1	MKRN1	76	1.34	0.18	0.415	FDPS, ZNF212, MNX1, TSGA14, + 54 genes
HOXB1	HOXB1	126	1.34	0.181	0.415	HHAT, C6orf165, RCOR2, LAMP1, + 106 genes
LASS5	LASS5	180	1.33	0.182	0.417	HOXB4, MYLIP, TOP1, LOC401588, + 110 genes
SOX9	SOX9	80	1.33	0.183	0.417	TWISTNB, TRAPPC3, PCCA, FOXO4, + 51 genes
ZNF479	ZNF479	33	1.33	0.183	0.417	TBXA2R, SLC25A38, CLUAP1, GIN1, + 12 genes
ZDHHC19	ZDHHC19	38	1.33	0.184	0.419	C14orf93, TPT1, PTAR1, TMED5, + 24 genes
GRM6	GRM6	51	1.33	0.185	0.42	ANKRD42, CCDC90B, C11orf54, VSIG2, + 28 genes
MAEL	MAEL	39	1.32	0.186	0.422	CUL4A, TDRD10, TSN, ELL, + 26 genes
MNT	MNT	28	1.32	0.187	0.423	KIAA0556, COL4A1, CCDC148, ITGB3, + 21 genes
DEAF1	DEAF1	35	1.31	0.189	0.424	IL17B, LOC339535, ZNF284, MSL2, + 24 genes
HLA-DQB2	HLA-DQB2	118	1.31	0.189	0.424	SLC31A2, BHLHE40, ALPK1, GM2A, + 101 genes
MAFB	MAFB	250	1.31	0.19	0.424	NRP2, TLR5, CDKN1A, SLC25A30, + 199 genes
TEAD1	TEAD1	128	1.31	0.19	0.424	HMG20A, RFFL, CBL, AMOTL2, + 96 genes
ELF4	ELF4	295	1.31	0.191	0.424	ATF6B, C2CD2L, PPP1R9B, KCNG3, + 261 genes
EGR3	EGR3	52	1.3	0.192	0.425	ZC3H12A, BTN2A2, ITPR1, DAPP1, + 43 genes
HIVEP3	HIVEP3	81	1.3	0.192	0.425	MSN, PLCB2, UBASH3B, CSF2RB, + 60 genes
TCF4	TCF4	46	1.3	0.194	0.428	SYTL2, FOXO4, SLFN12, PLEKHG2, + 37 genes
IRF2	IRF2	328	1.3	0.195	0.429	NLRP2, C2CD2L, KCNG3, MSN, + 283 genes
NFATC1	NFATC1	284	1.3	0.195	0.429	GTF2IRD1, FAM66C, HVCN1, PPP1R9B, + 240 genes
MXD1	MXD1	171	1.29	0.196	0.429	ARHGAP26, CDKN1A, CPPED1, ARHGAP31, + 131 genes
RNASE2	RNASE2	133	1.29	0.198	0.433	AFMID, RAB38, CDKN1A, FAM70A, + 106 genes
ZBTB40	ZBTB40	85	1.28	0.199	0.434	HOXB3, ASXL1, SPAG17, MCM9, + 54 genes
PRDM8	PRDM8	219	1.28	0.202	0.437	ZNF486, LAPTM4B, SGSH, ACSL3, + 190 genes
HOXC6	HOXC6	112	1.27	0.203	0.439	TSPAN31, MYCN, ROM1, AKAP1, + 89 genes
STAT4	STAT4	241	1.27	0.205	0.441	MEX3D, EED, CCDC146, DDB2, + 216 genes
TOX4	TOX4	120	1.27	0.205	0.441	C20orf29, C6orf165, IGFBP6, TSGA14, + 95 genes
GBX2	GBX2	78	1.26	0.208	0.445	FZD10, EGFLAM, TSPAN6, C20orf29, + 47 genes
HLA-DQB1	HLA-DQB1	83	1.26	0.208	0.445	CPNE7, RELT, LSG1, ALPK1, + 70 genes
NR3C2	NR3C2	35	1.26	0.209	0.446	FOXO1, SYTL2, FAM46A, NPNT, + 25 genes
AHR	AHR	87	1.25	0.21	0.447	PICALM, ATM, NHLRC3, RASGEF1B, + 72 genes
GATA3	GATA3	241	1.24	0.215	0.456	SYTL3, PPP1R9B, BIN2, RIPK1, + 215 genes
