Regulon	Size	NES	p.value	FDR	Synergy	Ledge
HOMEZ	118	3.39	0.000708	0.00948	NA	DCBLD2, SLC39A10, ARHGAP18, VPS11, + 101 genes
HOXA10	63	3.39	0.000712	0.00948	NA	ZNF490, ATL2, AKD1, COLEC12, + 52 genes
FOSL2	130	3.38	0.000727	0.00948	NA	SLC39A10, ARHGAP18, RALB, PBX3, + 105 genes
NRK	186	3.38	0.000731	0.00948	NA	RAP1GDS1, UBE2G2, RASSF2, C13orf15, + 155 genes
SOX8	55	3.35	0.000816	0.0102	NA	MMP25, RALB, PIWIL1, PBX3, + 43 genes
RELL2	113	3.33	0.000865	0.0104	NA	DCBLD2, SLC39A10, EIF4EBP2, GPAM, + 95 genes
BMP2	111	3.32	0.000916	0.0108	NA	SGK269, ARHGEF2, PDGFB, RAB15, + 85 genes
HES2	101	3.31	0.000932	0.0109	NA	MMP25, DCBLD2, ISPD, C2orf47, + 86 genes
ZNF556	89	3.28	0.00102	0.0115	NA	SKAP2, UBA5, LASS2, HMG20A, + 81 genes
HMG20A	309	3.27	0.00108	0.0117	NA	TPK1, SEMA6A, WDR91, RAP1GDS1, + 264 genes
MYB	110	3.27	0.00108	0.0117	NA	FDXACB1, C11orf65, SLC47A1, OR7D4, + 85 genes
TBX5	51	3.21	0.00133	0.0131	NA	IFT46, C2orf47, C11orf57, ANKRD42, + 31 genes
MTA2	122	3.18	0.00146	0.0142	NA	PIK3CD, SLC39A10, SOX4, ABCD4, + 95 genes
RARA	45	3.17	0.00152	0.0147	NA	PDGFB, MANEAL, GFPT1, IMPAD1, + 32 genes
EZH1	146	3.12	0.00179	0.0167	NA	WDR91, PIK3CD, DBR1, RASSF2, + 119 genes
SP7	58	3.11	0.00186	0.0171	NA	SERP2, TBXA2R, DAZL, KIAA1598, + 42 genes
ZEB1	133	3.11	0.00187	0.0171	NA	ARHGAP18, C13orf15, SGK269, SSH2, + 115 genes
HOXC10	47	3.09	0.00201	0.0183	NA	PBX3, LHFPL4, ELMOD2, HMG20A, + 37 genes
ZNF624	192	3.05	0.00227	0.02	NA	C13orf15, PIWIL1, GTPBP3, C11orf57, + 150 genes
BACH2	47	3.03	0.00241	0.021	NA	PIK3CD, SKAP2, KHSRP, TTC23, + 32 genes
HOXC5	133	3.01	0.00259	0.0221	NA	LONRF1, SLC39A10, VPS11, DAK, + 107 genes
ELF2	113	3	0.00267	0.0223	NA	RAP1GDS1, SGK269, HMG20A, SIAE, + 94 genes
NFRKB	80	3	0.00269	0.0224	NA	WDR91, FDXACB1, IFT46, C11orf57, + 68 genes
INSM1	102	2.95	0.00316	0.0256	NA	SAMD5, SPSB4, FOXM1, AKD1, + 81 genes
ZNF212	163	2.94	0.00332	0.0264	NA	WDR91, FDXACB1, IFT46, C11orf65, + 142 genes
MEIS2	77	2.93	0.00337	0.0267	NA	ISPD, VPS37A, ANKRD42, SMARCB1, + 62 genes
HLF	68	2.92	0.00351	0.0276	NA	SGK269, ROR2, C11orf65, HHAT, + 56 genes
FOXO1	176	2.9	0.00368	0.0286	NA	TPK1, RAP1GDS1, RASSF2, SNX1, + 137 genes
NFIB	91	2.89	0.00389	0.03	NA	ROR2, PDGFB, PVR, ATP1A3, + 71 genes
ZBTB17	37	2.88	0.00397	0.0305	NA	TMEM53, GPAM, C11orf65, TRAPPC3, + 27 genes
SETDB2	133	2.88	0.004	0.0306	NA	EIF4EBP2, SGK269, TMEM30A, SMARCB1, + 111 genes
PITX3	85	2.87	0.00412	0.0308	NA	WDR91, PPFIBP2, PLEKHG3, SSH2, + 66 genes
THAP6	54	2.86	0.00421	0.0311	NA	EFR3B, TMEM167B, ANKRD42, GTF2IRD1, + 44 genes
MNX1	231	2.85	0.00439	0.0318	NA	FDXACB1, C13orf15, SLC35A1, C11orf65, + 190 genes
LARP7	95	2.84	0.00444	0.0318	NA	SLC35A1, C11orf65, FSIP1, ZSCAN22, + 70 genes
C11orf9	177	2.84	0.00445	0.0318	NA	WDR91, RASSF2, C13orf15, PIWIL1, + 151 genes
ZNF436	163	2.81	0.00495	0.0343	NA	SGK269, BZW2, C11orf65, PPP1CC, + 129 genes
HOXB4	114	2.75	0.006	0.0399	NA	IFT46, EIF4EBP2, PIWIL1, PBX3, + 73 genes
HOXB8	35	2.75	0.006	0.0399	NA	HOXB4, TSPAN6, DUSP22, RTN4IP1, + 21 genes
HOXB9	55	2.75	0.006	0.0399	NA	PVR, LHFPL4, FAM173B, C18orf22, + 48 genes
SOX3	41	2.75	0.006	0.0399	NA	WDR91, ATN1, C11orf65, SLC47A1, + 32 genes
ZNF799	43	2.75	0.006	0.0399	NA	PBX3, NF2, ATG3, SEMA4C, + 34 genes
HOXB3	245	2.7	0.007	0.0441	NA	UBE2G2, DBR1, IFT46, PIWIL1, + 206 genes
STAT3	288	2.7	0.007	0.0441	NA	ZNF814, CYTH1, FOSL2, PPFIBP2, + 259 genes
FOXA1	27	2.65	0.008	0.049	NA	CDC42SE2, FAAH, RTN3, IFRD1, + 17 genes
ATOH8	42	2.61	0.009	0.0529	NA	RTKN, SEPT4, C20orf29, IGFBP6, + 35 genes
HSF2	67	2.61	0.009	0.0529	NA	FDXACB1, SLC35A1, C11orf57, C11orf65, + 49 genes
RCOR2	96	2.61	0.009	0.0529	NA	UBA5, SLC7A8, TNFRSF11A, IGFBP2, + 72 genes
GPR155	140	2.54	0.011	0.0627	NA	EFR3B, ARHGAP18, EIF4EBP2, PBX3, + 120 genes
HOXA13	76	2.51	0.012	0.0664	NA	ZNF490, C11orf65, FAM173B, DAZL, + 51 genes
SNAI3	110	2.51	0.012	0.0664	NA	TPK1, ATN1, CYTH1, LHFPL4, + 92 genes
DMRT1	253	2.48	0.013	0.0693	NA	RASSF2, C13orf15, PIWIL1, SLC35A1, + 210 genes
STAT5B	70	2.48	0.013	0.0693	NA	EIF4EBP2, ATG3, TRIB2, PDGFA, + 51 genes
CUL5	189	2.46	0.014	0.0737	NA	FDXACB1, FOSL2, C11orf57, TMEM30A, + 155 genes
ZNF187	70	2.46	0.014	0.0737	NA	EIF4EBP2, ATG3, PPP1CC, SEMA4C, + 55 genes
RHOXF2B	128	2.43	0.015	0.0769	NA	PIK3CD, DBR1, TBXA2R, FAAH, + 86 genes
RNF114	110	2.43	0.015	0.0769	NA	BZW2, SEPT4, SPEF1, DAZL, + 89 genes
ZNF202	102	2.43	0.015	0.0769	NA	IFT46, VPS11, C2orf47, C11orf57, + 69 genes
ZC3H6	144	2.41	0.016	0.0807	NA	C13orf15, PIWIL1, SLC35A1, ROR2, + 110 genes
ZNF18	177	2.41	0.016	0.0807	NA	FHOD1, TMPO, CASKIN1, SLC33A1, + 139 genes
MLL	90	2.39	0.017	0.0855	NA	C11orf57, CWF19L2, DPAGT1, PDGFA, + 64 genes
DPF3	28	2.37	0.018	0.0898	NA	KIAA0247, STAT3, CTBS, PROS1, + 21 genes
CAMTA2	47	2.35	0.019	0.0934	NA	DDT, SVEP1, MYO1C, CHPT1, + 39 genes
ZFP90	135	2.35	0.019	0.0934	NA	PIK3CD, SGK269, FHOD1, PCGF6, + 101 genes
PKNOX2	177	2.33	0.02	0.0958	NA	SLC39A10, KHSRP, DAK, TMTC3, + 136 genes
RORC	254	2.33	0.02	0.0958	NA	ARHGAP18, ZNF814, FHOD1, ATP2C1, + 220 genes
CUL4A	204	2.31	0.021	0.0995	NA	C11orf65, FSIP1, ELMOD2, HMG20A, + 165 genes
ETV4	101	2.31	0.021	0.0995	NA	UBA5, SLC7A8, ADO, RTN3, + 79 genes
MAFF	103	2.29	0.022	0.103	NA	MMP25, RALB, C2orf60, PFN2, + 83 genes
FOXL1	50	2.27	0.023	0.106	NA	VPS37A, SEMA4C, SPA17, GTF3C2, + 40 genes
FOXP4	44	2.27	0.023	0.106	NA	AKD1, TRAPPC3, MAP1LC3B, MGC16142, + 30 genes
GLI3	61	2.27	0.023	0.106	NA	C11orf65, PTPRA, FOXO1, CRISPLD2, + 43 genes
ASCL2	196	2.26	0.024	0.11	NA	VPS11, OAZ2, TMPO, ETV7, + 170 genes
SMAD7	51	2.23	0.026	0.117	NA	ZNF814, ATP2C1, ZNF238, NRK, + 36 genes
NKX6-1	31	2.21	0.027	0.12	NA	FZD10, DUSP22, ELMO2, EMX1, + 19 genes
ZIC4	34	2.21	0.027	0.12	NA	C12orf57, DUSP22, LMNB2, WDR18, + 25 genes
RELA	96	2.18	0.029	0.125	NA	CYTH1, MTA2, ATL2, THOC2, + 83 genes
ZFP2	205	2.18	0.029	0.125	NA	SLC35A1, ROR2, C11orf65, NTNG1, + 145 genes
HEYL	149	2.17	0.03	0.128	NA	UBA5, PIH1D2, KDM4D, TSPAN6, + 113 genes
VSX2	56	2.17	0.03	0.128	NA	PDGFB, PPP1CC, PLEKHA2, DDTL, + 44 genes
KLF12	210	2.16	0.031	0.13	NA	SKAP2, SSH2, CDC42SE2, HMG20A, + 171 genes
SOX6	88	2.16	0.031	0.13	NA	SLC35A1, C11orf65, HHAT, KDM4D, + 71 genes
CEBPA	220	2.13	0.033	0.137	NA	ZNF384, SLC47A1, C12orf57, SVEP1, + 187 genes
ZNF25	132	2.12	0.034	0.14	NA	ARHGAP18, KHSRP, ZNF146, EML3, + 105 genes
HOXB7	85	2.11	0.035	0.143	NA	IFT46, GPAM, PANK1, HOXB4, + 68 genes
EHF	154	2.1	0.036	0.146	NA	C12orf57, KIAA0247, MYL6B, ADRA2C, + 134 genes
HNF1B	37	2.07	0.038	0.152	NA	SLC47A1, IGFBP2, MNX1, RCOR2, + 27 genes
ZNF41	117	2.07	0.038	0.152	NA	ZNF490, ATG3, SMARCB1, MEX3D, + 93 genes
GSC	47	2.04	0.041	0.161	NA	ADO, HOXB4, TRAPPC3, PPP1CB, + 35 genes
FOSL1	71	2.01	0.044	0.169	NA	VPS11, C11orf57, NETO2, ZNF438, + 53 genes
ATF5	121	2	0.046	0.175	NA	LONRF1, ISPD, HOOK3, EML3, + 103 genes
ALX4	196	1.99	0.047	0.176	NA	PPFIBP2, HHAT, EGFLAM, TRIP4, + 162 genes
CHRAC1	54	1.98	0.048	0.178	NA	GSS, HIRA, MTM1, ANXA13, + 40 genes
EVX1	33	1.98	0.048	0.178	NA	PLEKHG3, EGFLAM, ZNF238, PODXL, + 24 genes
ZNF323	90	1.97	0.049	0.181	NA	NTNG1, C6orf130, C6orf165, KIAA0174, + 69 genes
ZFP161	48	1.94	0.052	0.188	NA	PHB2, LMNB2, SNRPD2, TOR1AIP1, + 36 genes
ZFPM2	65	1.94	0.052	0.188	NA	ENPP4, FCHSD2, ZC3H12C, FOXO1, + 49 genes
JRKL	107	1.93	0.053	0.191	NA	C11orf57, ATG3, SEMA4C, AKD1, + 64 genes
ZFP1	105	1.92	0.055	0.196	NA	FAAH, ITPKA, UMPS, TOP1, + 90 genes
ZEB2	319	1.91	0.056	0.198	NA	ARHGAP18, CYTH1, TMEM30A, PPM1G, + 301 genes
MINK1	46	1.9	0.057	0.2	NA	STAT3, ZNF586, FAM65A, C3orf17, + 35 genes
PLEK2	168	1.9	0.057	0.2	NA	ATP2C1, CRKL, HIC2, COLEC12, + 149 genes
HOXD3	64	1.9	0.058	0.201	NA	PANK1, HIRA, PRDM14, DNMT3A, + 50 genes
NR2E3	135	1.9	0.058	0.201	NA	EIF4EBP2, ZSCAN22, HOXB4, UBQLN1, + 102 genes
RUNX1	43	1.9	0.058	0.201	NA	IFNAR2, C10orf55, FOXO4, FNTA, + 28 genes
TFE3	224	1.89	0.059	0.204	NA	ZNF814, HIC2, TMEM179B, ZNF607, + 192 genes
TFEB	379	1.88	0.06	0.206	NA	LONRF1, SLC39A10, CYTH1, STX7, + 338 genes
ZNF267	61	1.87	0.062	0.209	NA	RNFT1, RAB40A, CD320, SNHG10, + 40 genes
TP63	65	1.85	0.065	0.216	NA	ATN1, AKD1, FAM66C, PHB2, + 56 genes
SSH3	175	1.84	0.066	0.217	NA	ZNF814, HIC2, C22orf30, EXO1, + 133 genes
ZNF311	64	1.84	0.066	0.217	NA	SLC35A1, PPP1CC, WDR93, DUSP22, + 45 genes
HIC1	361	1.83	0.067	0.22	NA	ZNF253, EML3, AADAT, GFPT1, + 306 genes
C17orf49	105	1.82	0.069	0.224	NA	THOC2, CRKL, AADAT, CBFA2T2, + 73 genes
CEBPE	40	1.81	0.071	0.229	NA	SPATS1, FGD3, SERTAD1, PRDM6, + 24 genes
ZNF473	147	1.8	0.072	0.231	NA	PIWIL1, UBA5, FSIP1, HMG20A, + 108 genes
NR1I2	54	1.79	0.073	0.231	NA	C11orf54, TMEM218, CCDC146, FOXO4, + 40 genes
TIPARP	151	1.79	0.073	0.231	NA	MTA2, HOMEZ, KIAA1826, NRP2, + 126 genes
FOXS1	119	1.79	0.074	0.233	NA	DAK, CCDC90B, ZNF253, THOC2, + 94 genes
PARP12	83	1.79	0.074	0.233	NA	TMPO, ETV7, SYTL3, ZNF714, + 59 genes
ZBTB25	79	1.79	0.074	0.233	NA	IFNAR2, ARHGAP26, SLC24A4, ZFYVE16, + 58 genes
ST18	101	1.78	0.075	0.235	NA	KIAA1598, RAB2B, ARRB2, LONRF3, + 86 genes
SNAI2	76	1.77	0.076	0.236	NA	ZNF486, THYN1, COL6A1, BCL9, + 65 genes
FOXD4L6	25	1.77	0.077	0.238	NA	STX7, MYBL2, CD40LG, CGN, + 20 genes
STAT5A	263	1.76	0.078	0.239	NA	MTA2, GRHL1, MFAP3L, SLC44A1, + 244 genes
HIVEP2	102	1.76	0.079	0.24	NA	PHB2, ATP2A3, SH3TC1, MLLT3, + 82 genes
NR3C1	169	1.76	0.079	0.24	NA	TMEM30A, PPM1G, CHAF1B, PICALM, + 140 genes
PLAGL1	113	1.75	0.08	0.241	NA	HOMEZ, ARHGAP26, TLR5, ACOX3, + 97 genes
ZBTB44	62	1.75	0.08	0.241	NA	GPBP1, RDX, SKIV2L2, CBL, + 42 genes
FOXP3	96	1.74	0.081	0.243	NA	OAZ2, GINS1, KLC3, PHB2, + 90 genes
GATA4	32	1.74	0.081	0.243	NA	MSL3L2, C21orf129, ACCN2, POPDC3, + 23 genes
BAZ2B	108	1.74	0.082	0.245	NA	DDT, FCHSD2, FAM8A1, CEP120, + 84 genes
ZNF575	34	1.74	0.082	0.245	NA	ZNF253, NTAN1, TXLNB, SLC27A1, + 25 genes
AHDC1	86	1.73	0.083	0.248	NA	UGP2, ANKRD6, KIAA0556, CCNJL, + 69 genes
ESR1	153	1.72	0.086	0.254	NA	GARS, TRIB1, MGC16142, ACN9, + 131 genes
ZFHX3	118	1.72	0.086	0.254	NA	FCHSD2, FAM8A1, MIDN, DPY30, + 82 genes
EXOC2	151	1.71	0.087	0.256	NA	RAP1GDS1, HHAT, RFFL, PTPRA, + 111 genes
ZNF488	88	1.71	0.087	0.256	NA	SLC47A1, MNX1, ELOVL3, PARP16, + 71 genes
TFEC	347	1.7	0.089	0.26	NA	ARHGAP18, MMD, STX7, TMEM30A, + 324 genes
ATF3	69	1.67	0.094	0.268	NA	VPS11, HIC2, C22orf30, SLC37A4, + 55 genes
MAFK	205	1.67	0.094	0.268	NA	EML3, PHB2, PPM1M, ECD, + 185 genes
RPA2	72	1.67	0.094	0.268	NA	HMG20A, EGFLAM, C6orf130, HOXB3, + 39 genes
DMRTB1	66	1.66	0.096	0.273	NA	FAAH, DAZL, C6orf130, IQUB, + 47 genes
RELB	267	1.65	0.098	0.277	NA	CYTH1, KHSRP, MTA2, GTF2IRD1, + 245 genes
HLX	356	1.6	0.11	0.305	NA	LONRF1, VPS11, GINS1, MTFR1, + 313 genes
EBF1	119	1.59	0.111	0.307	NA	THOC2, NOL10, BSCL2, CBFA2T2, + 96 genes
VDR	315	1.58	0.113	0.309	NA	PICALM, NRP2, ARHGAP26, RSPH3, + 280 genes
HES4	30	1.58	0.114	0.31	NA	ITPKA, MYLIP, TOP1, BSCL2, + 20 genes
JUNB	197	1.58	0.114	0.31	NA	ATF6B, TMEM218, ZNF607, RRP1B, + 159 genes
SIM2	31	1.58	0.114	0.31	NA	SLC35A1, RAGE, BPGM, USP6NL, + 18 genes
ZNF322A	71	1.58	0.115	0.31	NA	HMG20A, INTS4, CBL, FAM8A1, + 60 genes
EGR2	166	1.55	0.122	0.322	NA	STX7, COLEC12, STAT3, ATF6B, + 150 genes
TIGD3	48	1.55	0.122	0.322	NA	RAGE, DHRS7B, ZSCAN16, CREBL2, + 34 genes
DEPDC7	75	1.54	0.124	0.327	NA	SKIV2L2, IFRD1, MNX1, SRGAP2, + 62 genes
CBX2	165	1.52	0.129	0.336	NA	UBA5, HHAT, IGFBP2, TSPAN6, + 112 genes
CUL1	110	1.51	0.131	0.338	NA	HMG20A, EGFLAM, WDR93, PODXL, + 78 genes
MITF	262	1.51	0.131	0.338	NA	MMD, TMEM30A, ADRA2C, KCNE3, + 229 genes
NR1H3	327	1.51	0.131	0.338	NA	ERC2, SLC44A1, MGAT1, PDCL, + 299 genes
TSC22D3	207	1.51	0.131	0.338	NA	HIC2, EML3, DDB2, LOC400927, + 176 genes
NKX2-8	37	1.51	0.132	0.339	NA	TMEM53, STAT3, ZNF238, PCCA, + 19 genes
C20orf194	106	1.5	0.133	0.339	NA	C12orf57, DDX49, WDR18, AHNAK, + 77 genes
CBFB	102	1.49	0.135	0.343	NA	PRDM14, CYP4V2, UPF1, C16orf57, + 82 genes
TSHZ2	106	1.49	0.135	0.343	NA	STAT3, CD320, WDR18, AHNAK, + 82 genes
IRF5	358	1.46	0.143	0.358	NA	C2CD2L, BIN2, RIPK1, CDKN1A, + 317 genes
ZNF711	74	1.46	0.143	0.358	NA	YWHAH, RAGE, ASS1, TOB1, + 44 genes
SLC4A10	75	1.45	0.146	0.365	NA	CDC42SE2, ATF6B, RAB40AL, ANTXR2, + 65 genes
PLEK	356	1.45	0.147	0.367	NA	NLRP2, C2CD2L, TNIP1, CDKN1A, + 319 genes
SPI1	493	1.44	0.15	0.371	NA	FAM66C, GLRX2, C2CD2L, BIN2, + 440 genes
ETV6	275	1.44	0.151	0.371	NA	MEX3D, NRP2, ARRB2, NGEF, + 241 genes
ARNTL	180	1.43	0.152	0.371	NA	APOB48R, TMEM176A, TFEC, BEST1, + 148 genes
FOXF1	104	1.43	0.152	0.371	NA	GUCY1B3, CCDC102B, KIAA1522, GUCY1A3, + 87 genes
SKI	37	1.43	0.152	0.371	NA	PIGV, ZFHX3, TWF1, NADK, + 29 genes
ZSCAN21	68	1.43	0.152	0.371	NA	FZD10, IFRD1, ZNF212, PRDX2, + 39 genes
ZNF337	52	1.43	0.153	0.372	NA	SERBP1, ORAOV1, CCDC25, GTPBP8, + 34 genes
ZNF804A	101	1.43	0.153	0.372	NA	GIT2, BAMBI, TFEC, RASGEF1B, + 88 genes
JUN	268	1.43	0.154	0.374	NA	GLRX2, PSCA, NAALADL1, CD58, + 218 genes
PLXND1	130	1.42	0.156	0.374	NA	TLR5, ARHGAP31, ATP6V1B2, TEAD2, + 105 genes
ZNF280C	60	1.42	0.156	0.374	NA	ALKBH8, ZNF624, RTN4R, ELL, + 42 genes
GMEB2	41	1.41	0.16	0.382	NA	FZD10, C20orf29, CD200, TSGA14, + 18 genes
REPIN1	92	1.4	0.161	0.382	NA	ATF6B, ADAM12, TLR5, SULF2, + 66 genes
YBX2	76	1.39	0.166	0.39	NA	SLC35A1, HOXB4, BSCL2, HOXB3, + 57 genes
MAX	204	1.38	0.167	0.391	NA	APOB48R, SIRT1, GLRX, SPOP, + 180 genes
ELF3	37	1.38	0.169	0.395	NA	SLC7A8, DNM3, POPDC3, USP54, + 24 genes
TRERF1	219	1.37	0.171	0.396	NA	ARHGAP18, HOMEZ, PPM1M, NLRP2, + 194 genes
ZNF135	71	1.37	0.171	0.396	NA	TRIM41, KIAA0556, LRTOMT, ZC3H6, + 47 genes
MLX	47	1.36	0.173	0.398	NA	SERTAD1, BEST1, LSG1, OPA1, + 30 genes
TAX1BP1	32	1.36	0.173	0.398	NA	FSIP1, CBL, AASDHPPT, DDX6, + 14 genes
ZKSCAN5	113	1.36	0.175	0.402	NA	MAPKBP1, HMG20A, WDR93, FDPS, + 88 genes
ZNF184	92	1.35	0.176	0.403	NA	HMG20A, FDPS, C6orf165, DCAF4L1, + 66 genes
MEIS1	165	1.35	0.177	0.404	NA	GARS, PRDM14, MCM2, TPST2, + 120 genes
DBP	128	1.35	0.178	0.404	NA	NAALADL1, RWDD2B, KIAA1755, TSPAN31, + 107 genes
IRF1	207	1.35	0.178	0.404	NA	HOMEZ, KCNG3, APOB48R, OSM, + 179 genes
ZNF319	44	1.35	0.178	0.404	NA	C16orf57, DPPA5, GPR55, LRP10, + 31 genes
TERF2	54	1.34	0.179	0.405	NA	FOXO1, PROS1, CCDC63, TRAF3IP2, + 44 genes
AKNA	96	1.34	0.18	0.405	NA	SH3TC1, DENR, EED, FGD3, + 72 genes
MKRN1	76	1.34	0.18	0.405	NA	FDPS, ZNF212, MNX1, TSGA14, + 54 genes
HOXB1	126	1.34	0.181	0.406	NA	HHAT, C6orf165, RCOR2, LAMP1, + 106 genes
LASS5	180	1.33	0.182	0.408	NA	HOXB4, MYLIP, TOP1, LOC401588, + 110 genes
SOX9	80	1.33	0.183	0.408	NA	TWISTNB, TRAPPC3, PCCA, FOXO4, + 51 genes
ZNF479	33	1.33	0.183	0.408	NA	TBXA2R, SLC25A38, CLUAP1, GIN1, + 12 genes
ZDHHC19	38	1.33	0.184	0.41	NA	C14orf93, TPT1, PTAR1, TMED5, + 24 genes
GRM6	51	1.33	0.185	0.411	NA	ANKRD42, CCDC90B, C11orf54, VSIG2, + 28 genes
MAEL	39	1.32	0.186	0.413	NA	CUL4A, TDRD10, TSN, ELL, + 26 genes
MNT	28	1.32	0.187	0.414	NA	KIAA0556, COL4A1, CCDC148, ITGB3, + 21 genes
DEAF1	35	1.31	0.189	0.415	NA	IL17B, LOC339535, ZNF284, MSL2, + 24 genes
HLA-DQB2	118	1.31	0.189	0.415	NA	SLC31A2, BHLHE40, ALPK1, GM2A, + 101 genes
MAFB	250	1.31	0.19	0.415	NA	NRP2, TLR5, CDKN1A, SLC25A30, + 199 genes
TEAD1	128	1.31	0.19	0.415	NA	HMG20A, RFFL, CBL, AMOTL2, + 96 genes
ELF4	295	1.31	0.191	0.415	NA	ATF6B, C2CD2L, PPP1R9B, KCNG3, + 261 genes
