Regulon	Size	NES	p.value	FDR	Synergy	Ledge
7576	38	1.72	0.086	0.818	NA	79956, 580, 10198, 253782, + 11 genes
3280	53	1.71	0.088	0.818	NA	96764, 2359, 5800, 9043, + 5 genes
56829	25	1.71	0.088	0.818	NA	2067, 3164, 10097, 5610, 9690
84885	86	1.7	0.09	0.818	NA	5119, 25804, 57171, 79109, + 29 genes
112770	80	1.68	0.093	0.818	NA	9019, 599, 23596, 57228, + 26 genes
6827	308	1.65	0.099	0.818	NA	6603, 2885, 4591, 8683, + 94 genes
8427	60	1.65	0.099	0.818	NA	10922, 56257, 79836, 2783, + 14 genes
9516	168	1.65	0.099	0.818	NA	23589, 2040, 840, 333, + 32 genes
221504	88	1.64	0.1	0.818	NA	1839, 9595, 1647, 23294, + 25 genes
25803	515	1.64	0.101	0.818	NA	55454, 5590, 10298, 6817, + 131 genes
57410	119	1.64	0.102	0.818	NA	5331, 823, 2620, 4054, + 52 genes
91012	171	1.64	0.102	0.818	NA	23352, 92579, 78991, 57223, + 34 genes
158431	45	1.62	0.106	0.818	NA	8019, 63901, 23196, 27332, + 14 genes
57215	87	1.6	0.109	0.818	NA	23659, 22980, 3281, 27125, + 29 genes
25792	108	1.59	0.111	0.818	NA	8019, 7916, 57171, 79109, + 21 genes
25942	76	1.59	0.112	0.818	NA	6642, 51780, 5973, 8766, + 24 genes
1747	132	1.58	0.113	0.818	NA	783, 8501, 2705, 3321, + 18 genes
7153	205	1.58	0.113	0.818	NA	4591, 55157, 26586, 55526, + 103 genes
8721	350	1.58	0.113	0.818	NA	55454, 93974, 9462, 55183, + 105 genes
7494	406	1.58	0.114	0.818	NA	23171, 8741, 7259, 9778, + 93 genes
197407	48	1.57	0.117	0.818	NA	9416, 23214, 23361, 26000, + 16 genes
51087	71	1.57	0.117	0.818	NA	3833, 83461, 23204, 3835, + 24 genes
23361	40	1.56	0.118	0.818	NA	9595, 64092, 2013, 23211, + 28 genes
79733	165	1.56	0.119	0.818	NA	26586, 55526, 8501, 9493, + 81 genes
9337	50	1.56	0.119	0.818	NA	51780, 8073, 23438, 92154, + 14 genes
7391	109	1.55	0.12	0.818	NA	1945, 57111, 4720, 8636, + 38 genes
6047	89	1.55	0.121	0.818	NA	9416, 6271, 118, 9778, + 37 genes
8939	56	1.55	0.122	0.818	NA	8019, 84726, 22954, 57171, + 15 genes
9203	57	1.54	0.124	0.818	NA	1605, 51780, 23225, 7916, + 14 genes
6662	74	1.53	0.125	0.818	NA	9019, 11254, 1058, 11004, + 13 genes
7752	64	1.53	0.126	0.818	NA	6426, 3164, 55233, 23204, + 17 genes
9219	117	1.53	0.127	0.818	NA	5331, 51155, 823, 55723, + 41 genes
2063	102	1.52	0.128	0.818	NA	10298, 10755, 4218, 9524, + 36 genes
5307	62	1.51	0.13	0.818	NA	783, 1945, 89795, 7022, + 15 genes
23060	73	1.51	0.131	0.818	NA	8925, 8766, 8289, 253782, + 21 genes
254359	95	1.51	0.131	0.818	NA	53371, 9094, 23012, 64132, + 30 genes
6672	105	1.5	0.133	0.818	NA	840, 80221, 5696, 23424, + 22 genes
1788	121	1.49	0.135	0.818	NA	902, 2531, 3321, 5274, + 36 genes
22834	64	1.49	0.137	0.818	NA	80221, 6605, 162427, 11143, + 12 genes
388677	59	1.49	0.137	0.818	NA	10922, 1945, 57111, 4582, + 24 genes
10168	51	1.47	0.141	0.818	NA	80335, 23272, 10550, 51304, + 15 genes
10589	210	1.47	0.141	0.818	NA	1535, 684, 151987, 10755, + 64 genes
5017	74	1.47	0.141	0.818	NA	823, 3065, 1842, 6988, + 21 genes
6944	164	1.47	0.142	0.818	NA	331, 375449, 1945, 57111, + 75 genes
3167	34	1.46	0.145	0.818	NA	23457, 1773, 6658, 84779, + 14 genes
3720	58	1.45	0.147	0.818	NA	55526, 23294, 3321, 7916, + 11 genes
54469	107	1.44	0.15	0.818	NA	6642, 10933, 10073, 8036, + 42 genes
144455	108	1.44	0.151	0.818	NA	26586, 6426, 9493, 4288, + 43 genes
6881	139	1.43	0.152	0.818	NA	10581, 55183, 8683, 4676, + 64 genes
7760	78	1.43	0.153	0.818	NA	10295, 2013, 23211, 5800, + 25 genes
7584	71	1.43	0.154	0.818	NA	80335, 4615, 51304, 5894, + 16 genes
90333	33	1.42	0.155	0.818	NA	4905, 23764, 54502, 253782, + 10 genes
27153	65	1.42	0.157	0.818	NA	10922, 2050, 27183, 2783, + 19 genes
29956	92	1.42	0.157	0.818	NA	223, 55204, 4179, 6369, + 36 genes
602	49	1.41	0.158	0.818	NA	2771, 10581, 10226, 1999, + 13 genes
79603	116	1.41	0.159	0.818	NA	92579, 23012, 6820, 6821, + 32 genes
23567	87	1.41	0.16	0.818	NA	6817, 78991, 64132, 23438, + 13 genes
29841	162	1.4	0.161	0.818	NA	9019, 11009, 11254, 3321, + 48 genes
57822	53	1.39	0.164	0.818	NA	333, 5274, 1058, 30851, + 9 genes
6666	66	1.39	0.164	0.818	NA	4832, 8971, 5050, 5271, + 20 genes
54925	51	1.39	0.165	0.818	NA	2013, 51573, 5073, 51283, + 13 genes
7027	117	1.38	0.167	0.818	NA	26586, 9493, 865, 5347, + 44 genes
23261	88	1.38	0.168	0.818	NA	5590, 23585, 27095, 3925, + 25 genes
29893	153	1.38	0.168	0.818	NA	3833, 10951, 332, 25804, + 27 genes
122953	202	1.37	0.17	0.818	NA	11344, 64236, 333, 11078, + 62 genes
26574	122	1.37	0.17	0.818	NA	2319, 50628, 10951, 57404, + 42 genes
7542	84	1.37	0.171	0.818	NA	823, 146057, 29901, 10263, + 26 genes
55502	80	1.37	0.172	0.818	NA	6603, 3833, 11096, 83461, + 18 genes
3148	97	1.36	0.173	0.818	NA	3833, 55723, 3181, 83461, + 47 genes
162979	36	1.35	0.177	0.818	NA	10298, 54332, 2872, 26119, + 4 genes
8538	37	1.34	0.179	0.818	NA	3578, 54946, 2296, 2001, + 7 genes
126626	93	1.34	0.18	0.818	NA	55827, 55204, 5073, 26097, + 30 genes
5316	25	1.34	0.18	0.818	NA	55662, 9774, 84747, 4308, + 2 genes
29128	113	1.33	0.182	0.818	NA	3833, 55723, 9493, 3181, + 43 genes
60436	150	1.33	0.183	0.818	NA	3833, 2705, 81621, 5347, + 33 genes
57504	65	1.33	0.185	0.818	NA	27075, 27332, 5973, 8766, + 29 genes
25946	178	1.32	0.186	0.818	NA	8741, 29967, 2771, 6817, + 56 genes
9931	70	1.32	0.186	0.818	NA	4591, 9779, 11232, 79665, + 23 genes
126299	113	1.31	0.19	0.818	NA	10298, 23271, 51329, 8721, + 26 genes
145873	66	1.31	0.191	0.818	NA	1945, 1999, 29901, 57213, + 17 genes
23028	199	1.31	0.191	0.818	NA	5590, 1994, 3357, 10236, + 60 genes
3068	176	1.31	0.191	0.818	NA	375449, 5347, 83461, 6421, + 75 genes
7468	106	1.3	0.192	0.818	NA	23225, 7153, 56992, 10615, + 30 genes
124961	40	1.3	0.194	0.818	NA	10594, 51031, 6117, 6416, + 11 genes
3065	94	1.29	0.196	0.818	NA	84196, 6421, 10277, 1104, + 31 genes
79755	44	1.29	0.197	0.818	NA	11009, 8796, 3898, 1999, + 11 genes
79038	130	1.28	0.199	0.818	NA	57602, 9829, 55183, 2013, + 17 genes
9202	76	1.28	0.199	0.818	NA	84196, 10277, 54165, 27332, + 13 genes
195828	146	1.28	0.201	0.818	NA	23424, 55723, 63901, 9493, + 69 genes
1869	339	1.28	0.202	0.818	NA	23589, 10432, 3833, 7373, + 137 genes
7580	51	1.27	0.205	0.818	NA	55183, 1945, 57819, 22853, + 9 genes
130617	140	1.26	0.207	0.818	NA	11344, 151987, 10755, 8411, + 31 genes
3727	59	1.26	0.207	0.818	NA	8692, 8971, 25796, 79629, + 14 genes
60313	84	1.26	0.207	0.818	NA	9202, 84196, 3065, 26292, + 20 genes
1388	38	1.26	0.208	0.818	NA	7916, 780, 5603, 6499, + 32 genes
3607	254	1.26	0.208	0.818	NA	6603, 4591, 51155, 3833, + 60 genes
153527	140	1.26	0.209	0.818	NA	9337, 9416, 5720, 6821, + 73 genes
23099	55	1.26	0.209	0.818	NA	8019, 84726, 79109, 23637, + 15 genes
5087	64	1.25	0.211	0.818	NA	5287, 54498, 339287, 253782, + 12 genes
64145	33	1.25	0.211	0.818	NA	51304, 5894, 9779, 7342, + 7 genes
25799	25	1.24	0.214	0.818	NA	54662, 80789, 57473, 7508, + 3 genes
25921	118	1.24	0.214	0.818	NA	823, 11019, 2886, 22992, + 55 genes
3660	91	1.24	0.214	0.818	NA	23424, 126298, 5720, 23585, + 13 genes
51513	148	1.24	0.215	0.818	NA	5696, 11118, 684, 23780, + 43 genes
7024	62	1.24	0.215	0.818	NA	56943, 9416, 22864, 9761, + 8 genes
7030	85	1.23	0.217	0.818	NA	2771, 9961, 10095, 51187, + 28 genes
51282	171	1.23	0.218	0.818	NA	55501, 10922, 4832, 8971, + 55 genes
10302	117	1.23	0.219	0.818	NA	23135, 6642, 8683, 10933, + 31 genes
6657	80	1.23	0.219	0.818	NA	11166, 4103, 56123, 5126, + 14 genes
10363	37	1.23	0.22	0.818	NA	10933, 8766, 55070, 53339, + 5 genes
4613	73	1.22	0.221	0.818	NA	2531, 3321, 3898, 9334, + 57 genes
79366	117	1.22	0.223	0.818	NA	2331, 56898, 55839, 22974, + 25 genes
9314	47	1.2	0.229	0.818	NA	54332, 30000, 26119, 55357, + 13 genes
116071	86	1.2	0.23	0.818	NA	5696, 23780, 64761, 6890, + 21 genes
25988	82	1.2	0.23	0.818	NA	10221, 25996, 79671, 27339, + 17 genes
9841	84	1.19	0.234	0.818	NA	57107, 23097, 8763, 8365, + 22 genes
161882	33	1.19	0.235	0.818	NA	3315, 23211, 6256, 79144, + 5 genes
51538	125	1.19	0.235	0.818	NA	5590, 93974, 3281, 3065, + 42 genes
3975	81	1.19	0.236	0.818	NA	2067, 6278, 57403, 284439, + 22 genes
118472	99	1.18	0.237	0.818	NA	5694, 51329, 7390, 146057, + 38 genes
344787	46	1.18	0.237	0.818	NA	23171, 6129, 5921, 51809, + 11 genes
140831	71	1.18	0.238	0.818	NA	5335, 7529, 10953, 2669, + 29 genes
2101	119	1.18	0.238	0.818	NA	11344, 1535, 5331, 10755, + 28 genes
7155	42	1.18	0.238	0.818	NA	23272, 10236, 9779, 6599, + 12 genes
7727	80	1.18	0.238	0.818	NA	8368, 9420, 51573, 5073, + 20 genes
84619	235	1.18	0.239	0.818	NA	11344, 10755, 80761, 80067, + 67 genes
60685	86	1.17	0.242	0.818	NA	23294, 7916, 1495, 780, + 29 genes
5201	190	1.17	0.243	0.818	NA	93974, 23352, 55183, 92579, + 66 genes
3661	161	1.17	0.244	0.818	NA	11344, 1535, 10095, 22980, + 46 genes
7755	147	1.17	0.244	0.818	NA	28955, 8971, 8045, 79874, + 42 genes
7022	68	1.16	0.246	0.818	NA	375449, 57403, 201501, 55544, + 31 genes
340260	26	1.16	0.247	0.818	NA	10321, 2244, 1755, 8513, + 9 genes
2305	487	1.16	0.248	0.818	NA	26586, 3833, 55526, 50628, + 189 genes
8625	205	1.15	0.25	0.818	NA	19, 10755, 8411, 9524, + 60 genes
23435	282	1.15	0.252	0.818	NA	6426, 9493, 3181, 1994, + 140 genes
3659	107	1.14	0.253	0.818	NA	64167, 9961, 23780, 5720, + 23 genes
7764	61	1.14	0.253	0.818	NA	80223, 57403, 5934, 5087, + 10 genes
8548	114	1.14	0.254	0.818	NA	55157, 4905, 55827, 223, + 36 genes
11108	75	1.14	0.255	0.818	NA	55198, 9778, 55188, 8220, + 13 genes
5469	90	1.14	0.256	0.818	NA	9520, 4905, 7153, 3927, + 28 genes
6667	92	1.14	0.256	0.818	NA	9202, 118433, 23272, 51780, + 32 genes
126208	205	1.13	0.257	0.818	NA	10298, 1535, 10755, 8411, + 65 genes
51042	272	1.13	0.26	0.818	NA	11344, 93974, 10755, 8411, + 89 genes
6618	120	1.13	0.26	0.818	NA	53371, 80221, 9462, 9524, + 23 genes
83463	209	1.12	0.261	0.818	NA	10432, 10922, 83461, 25804, + 55 genes
10467	186	1.12	0.262	0.818	NA	55183, 10922, 373156, 57060, + 43 genes
57615	103	1.12	0.262	0.818	NA	9493, 1994, 56992, 1058, + 31 genes
342357	77	1.12	0.263	0.818	NA	6303, 9520, 21, 23361, + 19 genes
5245	228	1.12	0.263	0.818	NA	2319, 6603, 2885, 80221, + 73 genes
6874	121	1.11	0.266	0.818	NA	23204, 57403, 80004, 6790, + 65 genes
9326	171	1.11	0.266	0.818	NA	9094, 92579, 9520, 10951, + 45 genes
124245	240	1.11	0.267	0.818	NA	22980, 23211, 7916, 865, + 60 genes
148206	33	1.11	0.267	0.818	NA	10051, 54892, 9585, 259266, + 4 genes
10379	115	1.11	0.268	0.818	NA	5696, 684, 4218, 5565, + 22 genes
11143	148	1.11	0.269	0.818	NA	4591, 4915, 9520, 4905, + 44 genes
58491	52	1.1	0.273	0.818	NA	57060, 26502, 4193, 55314, + 18 genes
253782	294	1.09	0.274	0.818	NA	55621, 66008, 9520, 7259, + 99 genes
91603	131	1.09	0.275	0.818	NA	9940, 6241, 4185, 54752, + 32 genes
55734	106	1.09	0.276	0.818	NA	902, 51187, 899, 999, + 44 genes
5970	49	1.09	0.276	0.818	NA	823, 22992, 55298, 23649, + 16 genes
55565	85	1.08	0.279	0.818	NA	23601, 22980, 5119, 27183, + 23 genes
657	81	1.08	0.279	0.818	NA	9202, 3416, 23118, 9546, + 19 genes
9189	135	1.08	0.28	0.818	NA	6921, 79752, 10054, 29088, + 23 genes
155061	46	1.08	0.281	0.818	NA	1994, 4969, 63917, 51631, + 12 genes
4605	416	1.07	0.283	0.818	NA	4915, 10432, 51155, 3833, + 145 genes
10488	83	1.07	0.284	0.818	NA	96764, 7415, 8721, 79175, + 28 genes
22809	33	1.07	0.284	0.818	NA	79042, 6626, 11127, 84823, + 11 genes
25833	76	1.07	0.285	0.818	NA	51400, 80173, 7753, 1288, + 22 genes
10155	100	1.07	0.286	0.818	NA	10298, 10432, 5050, 79042, + 29 genes
90441	119	1.07	0.286	0.818	NA	51329, 10961, 8721, 23438, + 53 genes
3169	767	1.06	0.288	0.818	NA	23171, 1844, 8767, 55198, + 217 genes
147807	229	1.06	0.289	0.818	NA	11344, 55183, 22980, 10226, + 53 genes
57169	132	1.06	0.289	0.818	NA	6129, 840, 23424, 684, + 31 genes
64429	125	1.06	0.29	0.818	NA	840, 57107, 6426, 8036, + 32 genes
7474	90	1.06	0.29	0.818	NA	840, 3321, 51304, 11167, + 15 genes
92399	189	1.05	0.294	0.818	NA	2040, 8019, 9829, 51552, + 75 genes
22921	62	1.05	0.296	0.818	NA	4717, 64215, 7390, 57111, + 22 genes
2000	101	1.04	0.297	0.818	NA	4615, 55233, 51187, 4288, + 15 genes
51530	83	1.04	0.299	0.818	NA	56257, 3614, 9512, 381, + 20 genes
1874	161	1.03	0.303	0.818	NA	23659, 1535, 865, 27125, + 28 genes
7566	176	1.02	0.306	0.818	NA	8741, 29967, 78991, 5162, + 18 genes
146198	31	1.02	0.309	0.818	NA	8720, 5934, 10664, 79068
79894	52	1.01	0.311	0.818	NA	6892, 6051, 5867, 9261, + 20 genes
1870	154	1.01	0.312	0.818	NA	3833, 27235, 5347, 6421, + 52 genes
7080	42	1.01	0.312	0.818	NA	9085, 325, 2304, 3170, + 3 genes
5934	76	1.01	0.313	0.818	NA	8720, 64400, 10664, 79068, + 15 genes
6597	203	1.01	0.313	0.818	NA	51155, 10755, 55723, 1994, + 44 genes
7743	32	1.01	0.313	0.818	NA	22954, 51552, 5973, 7270, + 6 genes
7579	36	1	0.315	0.818	NA	64766, 9202, 9698, 200081, + 3 genes
4084	37	1	0.317	0.818	NA	7739, 55233, 27436, 10587, + 7 genes
54993	90	1	0.319	0.818	NA	1880, 64092, 50856, 201501, + 13 genes
7739	80	1	0.319	0.818	NA	60625, 3321, 27076, 5493, + 7 genes
7756	87	1	0.319	0.818	NA	26586, 6426, 143, 4905, + 29 genes
10626	66	0.99	0.32	0.818	NA	54438, 30851, 8526, 8581, + 27 genes
2002	109	0.99	0.322	0.818	NA	1994, 57060, 11200, 9203, + 34 genes
7988	39	0.98	0.327	0.818	NA	63917, 2050, 381, 10763, + 5 genes
4901	100	0.98	0.328	0.818	NA	55454, 27, 9462, 55183, + 10 genes
57106	28	0.98	0.328	0.818	NA	8411, 65993, 7703, 1155, + 5 genes
90204	131	0.97	0.33	0.818	NA	1933, 57403, 80004, 5271, + 54 genes
3228	41	0.97	0.333	0.818	NA	56001, 6011, 50508, 56674, + 12 genes
5467	112	0.96	0.336	0.818	NA	7851, 7916, 54332, 10626, + 29 genes
7775	98	0.96	0.338	0.818	NA	50628, 5694, 51031, 6117, + 14 genes
6239	57	0.95	0.34	0.818	NA	5876, 51780, 3321, 3720, + 5 genes
10765	82	0.95	0.341	0.818	NA	55157, 7448, 3321, 8030, + 24 genes
10661	44	0.95	0.342	0.818	NA	687, 29901, 5226, 10535, + 12 genes
27309	126	0.95	0.342	0.818	NA	2885, 4591, 4717, 10933, + 46 genes
4780	52	0.95	0.342	0.818	NA	56926, 23670, 83482, 10587, + 23 genes
2116	59	0.95	0.343	0.818	NA	8721, 5050, 25796, 6231, + 21 genes
54862	100	0.95	0.343	0.818	NA	9094, 10755, 9524, 10908, + 19 genes
653121	33	0.94	0.347	0.818	NA	64766, 9202, 5973, 5928, + 4 genes
51043	136	0.94	0.349	0.818	NA	2872, 1945, 57111, 2050, + 17 genes
6878	77	0.94	0.349	0.818	NA	10922, 2050, 56257, 2783, + 11 genes
9031	151	0.93	0.35	0.818	NA	26586, 9202, 55526, 10236, + 24 genes
6877	214	0.93	0.351	0.818	NA	9493, 4288, 6421, 55656, + 55 genes
6883	121	0.93	0.352	0.818	NA	93974, 287, 64761, 23585, + 37 genes
284695	58	0.93	0.353	0.818	NA	6426, 6421, 29899, 5141, + 6 genes
2967	169	0.93	0.354	0.818	NA	10236, 7374, 3416, 55027, + 57 genes
200186	100	0.92	0.355	0.818	NA	1999, 8407, 26097, 27005, + 36 genes
84324	146	0.92	0.355	0.818	NA	8683, 3281, 3150, 146057, + 51 genes
10362	103	0.92	0.356	0.818	NA	55454, 10226, 4832, 8721, + 20 genes
1029	129	0.92	0.357	0.818	NA	23428, 64499, 1058, 7272, + 29 genes
7029	98	0.92	0.357	0.818	NA	89795, 54165, 22929, 5096, + 41 genes
84733	255	0.92	0.357	0.818	NA	902, 375449, 5347, 2331, + 66 genes
10732	94	0.91	0.361	0.818	NA	1994, 3065, 57403, 51228, + 26 genes
4775	89	0.91	0.361	0.818	NA	865, 27183, 23300, 10664, + 40 genes
4520	70	0.91	0.362	0.818	NA	9202, 10487, 90480, 10163, + 12 genes
79710	197	0.91	0.362	0.818	NA	11009, 4915, 55526, 51304, + 64 genes
26298	163	0.91	0.363	0.818	NA	55233, 1280, 3694, 5493, + 16 genes
27097	132	0.91	0.363	0.818	NA	902, 9019, 103, 55827, + 37 genes
51058	65	0.91	0.363	0.818	NA	26292, 146057, 81932, 3949, + 10 genes
7716	118	0.91	0.363	0.818	NA	4591, 51780, 9520, 9778, + 25 genes
81628	136	0.91	0.363	0.818	NA	1535, 10095, 25998, 55501, + 35 genes
8882	148	0.91	0.363	0.818	NA	25996, 1058, 25940, 7086, + 51 genes
340784	43	0.9	0.366	0.818	NA	81619, 1369, 138151, 79785, + 8 genes
1789	195	0.9	0.367	0.818	NA	902, 55526, 83461, 55656, + 50 genes
3066	297	0.9	0.367	0.818	NA	3833, 865, 5347, 10112, + 99 genes
83855	147	0.9	0.369	0.818	NA	11344, 10755, 10226, 51329, + 44 genes
1487	48	0.89	0.371	0.818	NA	51329, 4832, 9948, 79155, + 6 genes
1877	154	0.89	0.371	0.818	NA	6817, 90411, 10922, 4832, + 19 genes
5371	182	0.89	0.371	0.818	NA	5696, 10095, 23780, 4245, + 43 genes
6945	153	0.89	0.371	0.818	NA	2885, 92579, 9520, 4905, + 48 genes
4800	93	0.89	0.373	0.818	NA	55526, 23294, 7916, 55656, + 15 genes
5080	42	0.89	0.373	0.818	NA	23158, 4605, 55165, 63877, + 3 genes
654364	89	0.89	0.373	0.818	NA	51329, 25804, 7384, 55651, + 31 genes
389549	52	0.89	0.374	0.818	NA	9946, 57715, 3483, 9245, + 30 genes
9970	52	0.89	0.374	0.818	NA	4720, 8407, 6282, 56882, + 12 genes
29028	195	0.89	0.375	0.818	NA	55157, 6426, 23225, 9493, + 72 genes
54764	61	0.89	0.375	0.818	NA	1793, 8505, 55662, 84986, + 13 genes
7709	144	0.89	0.376	0.818	NA	9318, 5590, 11078, 10196, + 32 genes
54700	98	0.88	0.377	0.818	NA	6426, 23204, 51573, 5073, + 31 genes
29068	53	0.88	0.379	0.818	NA	399979, 8332, 10948, 334, + 3 genes
50862	137	0.88	0.379	0.818	NA	23171, 9778, 4076, 54502, + 17 genes
7571	104	0.88	0.381	0.818	NA	81621, 865, 3281, 27183, + 21 genes
3227	57	0.87	0.382	0.819	NA	4915, 55761, 1945, 7022, + 3 genes
27300	26	0.87	0.385	0.823	NA	79042, 1142, 26354, 10155, + 15 genes
5078	26	0.87	0.385	0.823	NA	57663, 1539, 280658, 10021, + 5 genes
4802	106	0.87	0.387	0.825	NA	1945, 5236, 22883, 26119, + 29 genes
79724	69	0.86	0.391	0.828	NA	10295, 5531, 10921, 26000, + 14 genes
9232	427	0.85	0.394	0.829	NA	23589, 5696, 51155, 3833, + 174 genes
1997	105	0.85	0.397	0.829	NA	283537, 23272, 143, 5934, + 27 genes
1523	115	0.85	0.398	0.829	NA	55432, 55625, 183, 56978, + 24 genes
6941	102	0.84	0.399	0.829	NA	3833, 7916, 51512, 203068, + 27 genes
7376	107	0.84	0.401	0.829	NA	10298, 22980, 79874, 4696, + 24 genes
9221	259	0.83	0.404	0.829	NA	55157, 6426, 9493, 4288, + 86 genes
10113	156	0.83	0.405	0.829	NA	6603, 684, 55577, 1058, + 74 genes
2186	119	0.83	0.407	0.829	NA	4591, 183, 11232, 10664, + 35 genes
7392	70	0.83	0.408	0.829	NA	10298, 112398, 51070, 826, + 11 genes
57116	246	0.82	0.41	0.829	NA	3833, 783, 23428, 375449, + 88 genes
466	48	0.82	0.412	0.829	NA	81542, 9802, 140609, 55832, + 11 genes
5013	42	0.82	0.415	0.829	NA	902, 9493, 9928, 7272, + 2 genes
8896	170	0.81	0.419	0.829	NA	22990, 10093, 25804, 3182, + 62 genes
9640	80	0.8	0.421	0.829	NA	145389, 10933, 8925, 10073, + 13 genes
3608	209	0.79	0.427	0.829	NA	9019, 55157, 5347, 223, + 69 genes
116225	174	0.79	0.429	0.829	NA	2021, 79109, 8721, 23203, + 34 genes
22887	31	0.79	0.429	0.829	NA	9202, 81839, 10487, 5928, + 2 genes
339487	192	0.79	0.429	0.829	NA	93974, 5696, 51367, 3065, + 76 genes
7004	108	0.79	0.429	0.829	NA	5347, 83461, 27125, 332, + 22 genes
5933	278	0.79	0.43	0.829	NA	55157, 2067, 55526, 55233, + 81 genes
728489	78	0.79	0.43	0.829	NA	151987, 55577, 8721, 23203, + 23 genes
10389	167	0.79	0.431	0.829	NA	3833, 9493, 5347, 56992, + 43 genes
3159	191	0.79	0.431	0.829	NA	3833, 375449, 5347, 83461, + 53 genes
79818	133	0.79	0.432	0.829	NA	399665, 9, 10551, 3927, + 23 genes
6596	109	0.78	0.434	0.829	NA	4591, 1263, 5357, 8706, + 22 genes
58495	91	0.78	0.435	0.829	NA	57111, 5050, 64581, 2204, + 8 genes
254887	102	0.77	0.439	0.832	NA	56992, 64499, 9928, 10051, + 21 genes
