	Regulon	Size	NES	p.value	FDR	Ledge
1388	1388	38	1.96	0.05	0.998	81689, 5089, 7726, 780, + 23 genes
80320	80320	123	1.95	0.051	0.998	23220, 23780, 59342, 64376, + 24 genes
145873	145873	66	1.93	0.053	0.998	6398, 1945, 79884, 55031, + 16 genes
25946	25946	178	1.93	0.053	0.998	6817, 6799, 9, 1396, + 58 genes
4150	4150	101	1.92	0.055	0.998	79724, 9262, 8683, 2063, + 34 genes
1628	1628	77	1.9	0.057	0.998	9508, 9456, 6468, 2069, + 31 genes
9189	9189	135	1.9	0.057	0.998	6921, 10054, 23221, 10915, + 42 genes
4778	4778	154	1.9	0.058	0.998	55332, 92579, 55884, 2036, + 66 genes
54925	54925	51	1.9	0.058	0.998	2013, 51283, 5073, 51573, + 16 genes
84878	84878	34	1.9	0.058	0.998	79803, 55311, 593, 79414, + 9 genes
79724	79724	69	1.89	0.059	0.998	116984, 5595, 79903, 9091, + 27 genes
9516	9516	168	1.89	0.059	0.998	23589, 100129482, 2040, 23042, + 37 genes
10906	10906	128	1.87	0.061	0.998	8542, 8683, 55748, 51056, + 53 genes
221895	221895	62	1.87	0.062	0.998	8417, 64116, 9445, 26578, + 22 genes
8538	8538	37	1.85	0.065	0.998	490, 3925, 2568, 89944, + 17 genes
9355	9355	55	1.85	0.065	0.998	3115, 55723, 11201, 6455, + 16 genes
168544	168544	181	1.84	0.066	0.998	6799, 1396, 2203, 26019, + 59 genes
6772	6772	127	1.83	0.067	0.998	6890, 55233, 8542, 6419, + 35 genes
221527	221527	82	1.83	0.068	0.998	79724, 1616, 84981, 5089, + 32 genes
7760	7760	78	1.8	0.072	0.998	2013, 79724, 93129, 79903, + 36 genes
10379	10379	115	1.77	0.076	0.998	6890, 5696, 4277, 80344, + 41 genes
155061	155061	46	1.77	0.076	0.998	63917, 90956, 643641, 2041, + 12 genes
51176	51176	28	1.77	0.076	0.998	100133941, 397, 3075, 3490, + 8 genes
6773	6773	26	1.77	0.077	0.998	717, 10346, 3437, 51187, + 7 genes
8463	8463	135	1.77	0.077	0.998	5494, 7005, 6608, 1945, + 52 genes
147807	147807	229	1.75	0.08	0.998	126299, 6996, 6789, 256949, + 81 genes
122953	122953	202	1.74	0.082	0.998	10196, 60558, 22794, 65986, + 72 genes
10538	10538	103	1.73	0.084	0.998	23780, 1396, 2203, 80833, + 21 genes
79842	79842	67	1.73	0.084	0.998	54662, 80344, 1839, 5054, + 16 genes
1877	1877	154	1.72	0.086	0.998	6817, 8086, 79006, 8971, + 72 genes
56829	56829	25	1.72	0.086	0.998	3725, 10097, 5610, 9830, + 7 genes
9278	9278	65	1.72	0.086	0.998	1616, 79874, 10554, 5089, + 23 genes
60685	60685	86	1.68	0.092	0.998	23294, 1432, 5528, 57018, + 36 genes
8427	8427	60	1.67	0.095	0.998	79803, 155066, 90956, 6522, + 20 genes
116113	116113	87	1.64	0.1	0.998	9497, 7005, 5528, 7726, + 26 genes
57592	57592	117	1.63	0.103	0.998	26511, 9826, 1952, 223, + 44 genes
5916	5916	121	1.61	0.107	0.998	10024, 1952, 1965, 5129, + 32 genes
7566	7566	176	1.61	0.107	0.998	9, 56898, 8445, 93129, + 36 genes
55311	55311	63	1.61	0.108	0.998	8086, 55589, 6895, 3556, + 33 genes
430	430	68	1.59	0.112	0.998	3115, 9022, 27163, 5699, + 25 genes
9580	9580	43	1.59	0.112	0.998	9, 55224, 5287, 10401, + 15 genes
22955	22955	129	1.57	0.117	0.998	5634, 26039, 51118, 441024, + 12 genes
25803	25803	515	1.56	0.119	0.998	10298, 6817, 6892, 8086, + 141 genes
127343	127343	45	1.55	0.122	0.998	2013, 3833, 332, 10024, + 18 genes
91012	91012	171	1.53	0.126	0.998	8086, 92579, 5933, 23352, + 47 genes
7755	7755	147	1.51	0.13	0.998	79724, 126299, 8971, 79803, + 50 genes
3214	3214	39	1.51	0.131	0.998	10644, 2950, 3426, 3075, + 13 genes
57169	57169	132	1.51	0.132	0.998	6129, 6419, 1933, 3437, + 60 genes
79603	79603	116	1.5	0.133	0.998	1956, 92579, 2203, 23597, + 24 genes
8820	8820	123	1.5	0.134	0.998	6709, 10346, 4600, 51056, + 29 genes
23211	23211	69	1.49	0.135	0.998	23038, 84981, 3978, 8189, + 33 genes
51157	51157	46	1.44	0.151	0.998	26019, 5933, 6996, 57223, + 12 genes
27153	27153	65	1.43	0.152	0.998	2050, 5447, 5211, 7841, + 26 genes
5013	5013	42	1.43	0.153	0.998	2305, 9928, 9918, 902, + 13 genes
146542	146542	431	1.43	0.154	0.998	6817, 8086, 6799, 10054, + 166 genes
5914	5914	187	1.42	0.157	0.998	6799, 92579, 1396, 79006, + 33 genes
2301	2301	46	1.4	0.162	0.998	23589, 57117, 3925, 97, + 6 genes
389549	389549	52	1.38	0.168	0.998	29943, 51702, 6279, 23491, + 10 genes
58495	58495	91	1.38	0.168	0.998	2063, 57111, 2166, 55311, + 22 genes
126299	126299	113	1.37	0.171	0.998	10298, 79874, 25909, 488, + 27 genes
6657	6657	80	1.37	0.172	0.998	9903, 8000, 960, 357, + 9 genes
57232	57232	54	1.36	0.175	0.998	1263, 27102, 8744, 607, + 17 genes
5017	5017	74	1.35	0.176	0.998	9262, 5595, 694, 3065, + 25 genes
29128	29128	113	1.34	0.18	0.998	3833, 983, 3832, 10024, + 54 genes
148206	148206	33	1.34	0.181	0.998	9585, 259266, 6502, 1763, + 4 genes
54626	54626	100	1.33	0.184	0.998	23220, 9975, 9022, 2950, + 24 genes
145258	145258	95	1.33	0.185	0.998	10054, 23221, 51466, 79873, + 31 genes
4824	4824	116	1.32	0.188	0.998	9, 7336, 55756, 8741, + 26 genes
29855	29855	67	1.31	0.19	0.998	9738, 23042, 84516, 23274, + 14 genes
1387	1387	57	1.3	0.194	0.998	2036, 23274, 1652, 8624, + 20 genes
9203	9203	57	1.3	0.194	0.998	9677, 23225, 1605, 84981, + 22 genes
171017	171017	81	1.28	0.199	0.998	2305, 54682, 9918, 5089, + 23 genes
6720	6720	110	1.27	0.204	0.998	79006, 93129, 55748, 8741, + 33 genes
3661	3661	161	1.26	0.206	0.998	10927, 55716, 64772, 5777, + 55 genes
2625	2625	512	1.26	0.207	0.998	1956, 9, 92579, 1396, + 148 genes
81628	81628	136	1.25	0.21	0.998	25998, 55501, 1983, 2050, + 45 genes
3235	3235	48	1.25	0.213	0.998	57223, 256949, 10581, 9829, + 15 genes
9935	9935	75	1.24	0.215	0.998	23129, 6404, 3426, 4245, + 21 genes
7709	7709	144	1.24	0.216	0.998	10196, 54700, 116985, 7841, + 59 genes
221504	221504	88	1.23	0.219	0.998	23294, 1647, 84516, 1839, + 25 genes
83741	83741	35	1.22	0.221	0.998	11025, 9629, 28234, 159162, + 7 genes
5987	5987	77	1.22	0.222	0.998	23294, 1616, 5528, 8553, + 15 genes
10062	10062	79	1.22	0.223	0.998	11046, 53, 65986, 5699, + 18 genes
6618	6618	120	1.22	0.224	0.998	53371, 1396, 9625, 5819, + 33 genes
5307	5307	62	1.21	0.226	0.998	51107, 65986, 1945, 7022, + 16 genes
3216	3216	41	1.2	0.23	0.998	8743, 4487, 3217, 7070, + 7 genes
7633	7633	64	1.2	0.23	0.998	2040, 8061, 54662, 80344, + 11 genes
2000	2000	101	1.2	0.231	0.998	23380, 55233, 1612, 6419, + 19 genes
140690	140690	45	1.19	0.234	0.998	3833, 10403, 26586, 2305, + 16 genes
79733	79733	165	1.19	0.234	0.998	64863, 9585, 3832, 10403, + 72 genes
127428	127428	37	1.18	0.239	0.998	6342, 60313, 50999, 11124, + 9 genes
10265	10265	120	1.17	0.24	0.998	116984, 92579, 51678, 7485, + 29 genes
3223	3223	36	1.17	0.242	0.998	10581, 25959, 2618, 7703, + 4 genes
387332	387332	28	1.16	0.246	0.998	3860, 339, 3346
51043	51043	136	1.15	0.25	0.998	22822, 2050, 1945, 79874, + 19 genes
283337	283337	133	1.15	0.251	0.998	8086, 5329, 8061, 29982, + 34 genes
162979	162979	36	1.14	0.254	0.998	10298, 65986, 79874, 54020, + 5 genes
63946	63946	129	1.14	0.254	0.998	100129482, 29943, 5366, 51702, + 34 genes
57106	57106	28	1.13	0.257	0.998	8411, 155066, 55311, 7703, + 4 genes
3218	3218	32	1.12	0.261	0.998	4487, 3217, 7070, 3490, + 8 genes
6688	6688	309	1.12	0.261	0.998	5698, 23129, 2771, 717, + 84 genes
6941	6941	102	1.12	0.261	0.998	3833, 2305, 3382, 146909, + 28 genes
6899	6899	71	1.11	0.265	0.998	6856, 10694, 10987, 114908, + 4 genes
23361	23361	40	1.1	0.27	0.998	2013, 9121, 9595, 965, + 11 genes
79818	79818	133	1.1	0.271	0.998	9, 23560, 6337, 399665, + 17 genes
100130426	100130426	28	1.1	0.272	0.998	56001, 10798, 84560, 3350, + 9 genes
197407	197407	48	1.1	0.272	0.998	51108, 79724, 9416, 9093, + 14 genes
3975	3975	81	1.09	0.274	0.998	23129, 2946, 51702, 7054, + 24 genes
2299	2299	66	1.09	0.276	0.998	23254, 2568, 10158, 8165, + 18 genes
5989	5989	89	1.09	0.276	0.998	11235, 1965, 51222, 402055, + 28 genes
9726	9726	105	1.08	0.28	0.998	79724, 1054, 7341, 23221, + 36 genes
1053	1053	36	1.08	0.282	0.998	51296, 23659, 54436, 712, + 11 genes
55897	55897	44	1.07	0.284	0.998	6398, 2568, 8000, 3855, + 18 genes
7629	7629	86	1.07	0.284	0.998	7071, 51719, 1616, 8445, + 11 genes
22980	22980	157	1.06	0.289	0.998	11344, 11062, 55715, 5211, + 64 genes
7391	7391	109	1.06	0.289	0.998	7071, 7003, 9826, 6391, + 29 genes
6830	6830	176	1.05	0.293	0.998	5635, 3475, 55915, 4836, + 47 genes
51087	51087	71	1.05	0.294	0.998	3833, 10024, 7693, 9232, + 21 genes
79755	79755	44	1.05	0.294	0.998	11009, 3925, 51442, 23242, + 7 genes
5458	5458	28	1.05	0.295	0.998	26333, 9229, 1447, 51444, + 6 genes
54862	54862	100	1.04	0.297	0.998	10190, 9094, 10908, 23309, + 31 genes
22834	22834	64	1.03	0.301	0.998	6342, 10241, 2064, 1519, + 26 genes
155054	155054	33	1.03	0.303	0.998	10866, 1075, 6891, 11118, + 2 genes
4010	4010	162	1.02	0.307	0.998	54662, 80344, 29982, 55003, + 45 genes
64429	64429	125	1.02	0.307	0.998	4048, 5339, 57698, 54708, + 32 genes
125150	125150	91	1.02	0.309	0.998	11046, 10400, 5694, 6468, + 32 genes
60436	60436	150	1.02	0.309	0.998	3833, 332, 51283, 23017, + 34 genes
161882	161882	33	1.02	0.31	0.998	51162, 3315, 6256, 79144, + 7 genes
55663	55663	385	1.02	0.31	0.998	6817, 8086, 92579, 1396, + 140 genes
4779	4779	125	1.01	0.311	0.998	4836, 1952, 9121, 1534, + 19 genes
84858	84858	66	1	0.315	0.998	2950, 4245, 55819, 64359, + 21 genes
112770	112770	80	1	0.317	0.998	51107, 23596, 80013, 7695, + 34 genes
7739	7739	80	0.99	0.32	0.998	27076, 1952, 51435, 60625, + 17 genes
342357	342357	77	0.99	0.321	0.998	9738, 51108, 84516, 7538, + 20 genes
4798	4798	85	0.99	0.321	0.998	9538, 1026, 8892, 79829, + 8 genes
388677	388677	59	0.99	0.323	0.998	490, 51107, 10401, 1945, + 11 genes
6911	6911	40	0.98	0.327	0.998	27076, 79724, 93129, 9121, + 7 genes
7027	7027	117	0.98	0.327	0.998	3832, 10403, 26586, 259266, + 52 genes
29068	29068	53	0.97	0.332	0.998	9538, 399979, 56994, 334, + 15 genes
144455	144455	108	0.97	0.333	0.998	64863, 9585, 3832, 26586, + 44 genes
7005	7005	92	0.97	0.334	0.998	81619, 5089, 10848, 7726, + 26 genes
79149	79149	66	0.96	0.336	0.998	5494, 2305, 22794, 8317, + 8 genes
54764	54764	61	0.96	0.337	0.998	10613, 54708, 1793, 64429, + 17 genes
118813	118813	241	0.95	0.34	0.998	9262, 1355, 55716, 79803, + 51 genes
254359	254359	95	0.95	0.34	0.998	53371, 9094, 79803, 79873, + 26 genes
3226	3226	40	0.95	0.342	0.998	1956, 6769, 1183, 6263, + 10 genes
4094	4094	59	0.93	0.35	0.998	51170, 526, 3075, 840, + 14 genes
79759	79759	89	0.93	0.353	0.998	23358, 79001, 10210, 9274, + 25 genes
3720	3720	58	0.92	0.359	0.998	23294, 1026, 5089, 55526, + 8 genes
7409	7409	40	0.92	0.36	0.998	8741, 9516, 27163, 963, + 8 genes
4204	4204	161	0.91	0.362	0.998	10440, 10001, 5329, 9203, + 40 genes
3087	3087	137	0.91	0.364	0.998	9, 7026, 51466, 1389, + 42 genes
79038	79038	130	0.9	0.366	0.998	2013, 26019, 5933, 57602, + 28 genes
7376	7376	107	0.9	0.367	0.998	10298, 2217, 79874, 22870, + 39 genes
51530	51530	83	0.9	0.369	0.998	7979, 55120, 79611, 23534, + 34 genes
51341	51341	154	0.89	0.372	0.998	55003, 51466, 10581, 5819, + 43 genes
5460	5460	31	0.89	0.373	0.998	55860, 23532, 10668, 5564, + 5 genes
57567	57567	108	0.89	0.373	0.998	55715, 8089, 22893, 8440, + 32 genes
84619	84619	235	0.89	0.373	0.998	126299, 64772, 80761, 5777, + 78 genes
23264	23264	145	0.89	0.375	0.998	8508, 22883, 9679, 3054, + 49 genes
3660	3660	91	0.89	0.375	0.998	10384, 55347, 10346, 1389, + 21 genes
4901	4901	100	0.89	0.376	0.998	5933, 80344, 6468, 131566, + 18 genes
3222	3222	55	0.88	0.378	0.998	116984, 8086, 4487, 51222, + 14 genes
8456	8456	33	0.87	0.382	0.998	5595, 9759, 2036, 6337, + 5 genes
9112	9112	91	0.87	0.382	0.998	6160, 9043, 9274, 51222, + 21 genes
136051	136051	35	0.86	0.39	0.998	643641, 2041, 29803, 2146, + 15 genes
195828	195828	146	0.86	0.391	0.998	1371, 983, 64863, 3832, + 54 genes
2307	2307	109	0.86	0.392	0.998	10054, 4487, 256949, 1800, + 31 genes
3224	3224	45	0.86	0.392	0.998	6678, 710, 4060, 4313, + 11 genes
6927	6927	90	0.84	0.401	0.998	8086, 9262, 8683, 824, + 10 genes
9372	9372	51	0.84	0.401	0.998	9202, 400961, 63035, 3958, + 9 genes
79618	79618	53	0.84	0.402	0.998	55756, 7327, 526, 23039, + 11 genes
1050	1050	85	0.84	0.403	0.998	3115, 79874, 51162, 51296, + 23 genes
23589	23589	62	0.83	0.406	0.998	51283, 51108, 5073, 79001, + 32 genes
4776	4776	157	0.83	0.407	0.998	1396, 93129, 51466, 10581, + 63 genes
3225	3225	40	0.83	0.409	0.998	116984, 8086, 517, 8125, + 6 genes
1820	1820	128	0.82	0.41	0.998	55716, 4352, 7555, 22865, + 34 genes
2968	2968	191	0.82	0.41	0.998	3833, 1616, 7005, 57819, + 47 genes
51364	51364	284	0.82	0.41	0.998	1396, 23560, 79006, 55756, + 70 genes
286128	286128	80	0.82	0.413	0.998	9070, 4836, 6522, 8915, + 27 genes
84124	84124	32	0.82	0.413	0.998	373156, 3624, 6574, 2935, + 6 genes
3280	3280	53	0.81	0.416	0.998	9043, 1382, 6873, 1999, + 14 genes
56731	56731	75	0.81	0.416	0.998	9274, 221037, 4192, 3315, + 22 genes
58491	58491	52	0.81	0.416	0.998	26502, 7844, 80219, 84823, + 14 genes
23598	23598	70	0.81	0.417	0.998	8508, 80344, 8125, 5621, + 18 genes
388569	388569	58	0.81	0.418	0.998	7341, 7763, 9416, 3054, + 9 genes
2018	2018	35	0.8	0.422	0.998	6678, 4060, 8839, 4313, + 12 genes
6256	6256	168	0.8	0.423	0.998	23560, 54662, 5287, 11235, + 41 genes
51058	51058	65	0.8	0.424	0.998	3949, 10327, 26292, 146057, + 13 genes
9202	9202	76	0.8	0.424	0.998	10277, 3726, 51005, 54165, + 13 genes
57178	57178	35	0.8	0.426	0.998	1793, 26123, 81619, 55662, 818
4335	4335	145	0.79	0.427	0.998	10190, 54662, 7341, 3911, + 32 genes
5462	5462	47	0.79	0.428	0.998	3842, 1315, 9276, 1845, + 17 genes
3172	3172	47	0.79	0.43	0.998	51702, 339, 8529, 525, + 5 genes
23613	23613	54	0.79	0.431	0.998	10564, 10818, 8315, 6804
89887	89887	84	0.78	0.437	0.998	10298, 55501, 51222, 9625, + 17 genes
285971	285971	119	0.78	0.438	0.998	79643, 26091, 9318, 23256, + 36 genes
6239	6239	57	0.77	0.44	0.998	1649, 54878, 23042, 10209, + 7 genes
3167	3167	34	0.77	0.443	0.998	27346, 22884, 26239, 9184, + 3 genes
55565	55565	85	0.77	0.443	0.998	4192, 129080, 50512, 64779, + 28 genes
10474	10474	88	0.76	0.447	0.998	10093, 9821, 2286, 6919, + 24 genes
7392	7392	70	0.76	0.45	0.998	10298, 126299, 593, 54938, + 19 genes
23567	23567	87	0.75	0.452	0.998	6817, 78991, 5982, 8841, + 18 genes
745	745	35	0.75	0.453	0.998	51266, 902, 3898, 10412, + 6 genes
2130	2130	134	0.75	0.455	0.998	23780, 8508, 4357, 83463, + 39 genes
1788	1788	121	0.74	0.457	0.998	10671, 10209, 55860, 58488, + 35 genes
741	741	77	0.73	0.463	0.998	6895, 55454, 2286, 29907, + 22 genes
25833	25833	76	0.73	0.464	0.998	9538, 9516, 210, 7739, + 4 genes
25792	25792	108	0.73	0.467	0.998	54662, 22870, 3054, 6014, + 22 genes
55146	55146	96	0.73	0.468	0.998	92579, 2258, 94239, 57018, + 32 genes
2099	2099	433	0.72	0.471	0.998	9, 3475, 27242, 80344, + 96 genes
22809	22809	33	0.72	0.472	0.998	64376, 22870, 84823, 93436, + 4 genes
56676	56676	38	0.72	0.473	0.998	4277, 2036, 8303, 8287, + 3 genes
129025	129025	29	0.71	0.478	0.998	1058, 29968, 23532, 54478, + 2 genes
126626	126626	93	0.71	0.479	0.998	9826, 5867, 5073, 6391, + 15 genes
473	473	124	0.71	0.479	0.998	10440, 5329, 51491, 23038, + 28 genes
57684	57684	51	0.7	0.481	0.998	9738, 51042, 2218, 9581, + 13 genes
283489	283489	41	0.7	0.483	0.998	81542, 23091, 10166, 8874, + 18 genes
6939	6939	71	0.7	0.483	0.998	256949, 7122, 23498, 7123, + 33 genes
657	657	81	0.7	0.486	0.998	10613, 54708, 9585, 64429, + 20 genes
10488	10488	83	0.7	0.487	0.998	26019, 9456, 79873, 9943, + 16 genes
339344	339344	78	0.7	0.487	0.998	83463, 221037, 28964, 55101, + 24 genes
4802	4802	106	0.69	0.492	0.998	23038, 1945, 10327, 22883, + 21 genes
10573	10573	240	0.69	0.493	0.998	23589, 23137, 79001, 51172, + 55 genes
8625	8625	205	0.68	0.498	0.998	7071, 126299, 8411, 2063, + 60 genes
7468	7468	106	0.68	0.499	0.998	259266, 7538, 23225, 84981, + 23 genes
2118	2118	63	0.67	0.505	0.998	6472, 2690, 51128, 6508, + 19 genes
3148	3148	97	0.67	0.506	0.998	3833, 332, 983, 10024, + 31 genes
653121	653121	33	0.66	0.507	0.998	9202, 2135, 8878, 65979, + 10 genes
7542	7542	84	0.66	0.507	0.998	402, 79982, 146057, 4221, + 24 genes
84936	84936	210	0.66	0.508	0.998	2203, 5827, 23287, 79874, + 50 genes
118738	118738	34	0.66	0.51	0.998	150244, 10882, 2296, 492, + 9 genes
4005	4005	84	0.66	0.512	0.998	9445, 10581, 397, 9816, + 21 genes
3609	3609	245	0.65	0.513	0.998	3833, 10024, 2305, 146909, + 50 genes
6878	6878	77	0.65	0.516	0.998	2050, 7005, 5447, 29915, + 17 genes
4066	4066	362	0.65	0.518	0.998	10196, 79872, 55501, 2771, + 110 genes
54897	54897	155	0.65	0.518	0.998	29078, 1952, 29080, 5912, + 31 genes
10716	10716	35	0.64	0.519	0.998	3833, 64863, 146909, 689, + 3 genes
1523	1523	115	0.64	0.519	0.998	183, 824, 27102, 3383, + 26 genes
7161	7161	67	0.64	0.523	0.998	29078, 146909, 5129, 9928, + 8 genes
84627	84627	91	0.64	0.525	0.998	6608, 3622, 64236, 7251, + 24 genes
7153	7153	205	0.63	0.526	0.998	5635, 983, 9585, 3832, + 80 genes
29883	29883	87	0.63	0.527	0.998	9070, 55756, 55872, 526, + 15 genes
7004	7004	108	0.63	0.528	0.998	5494, 332, 2305, 9918, + 27 genes
3195	3195	31	0.63	0.531	0.998	3833, 10103, 8821, 2568, + 3 genes
2116	2116	59	0.62	0.536	0.998	6468, 2647, 10654, 1891, + 16 genes
58500	58500	35	0.61	0.539	0.998	79175, 6493, 8367, 627, + 8 genes
6658	6658	81	0.61	0.539	0.998	5232, 10294, 11086, 57282, + 23 genes
64763	64763	65	0.61	0.54	0.998	10298, 10848, 8189, 55101, + 16 genes
9640	9640	80	0.61	0.544	0.998	5955, 54956, 83440, 3054, + 18 genes
79683	79683	64	0.61	0.545	0.998	10196, 2950, 7122, 80254, + 15 genes
56917	56917	219	0.6	0.546	0.998	26019, 79006, 23221, 29080, + 67 genes
25942	25942	76	0.6	0.547	0.998	54878, 8502, 10363, 1952, + 22 genes
149076	149076	176	0.6	0.55	0.998	25998, 60558, 7005, 11235, + 60 genes
200186	200186	100	0.59	0.552	0.998	490, 11046, 9826, 5129, + 32 genes
8431	8431	76	0.59	0.552	0.998	3725, 9070, 824, 5047, + 14 genes
3237	3237	28	0.59	0.554	0.998	55076, 11118, 64359, 4313, + 4 genes
6668	6668	100	0.59	0.557	0.998	4836, 5700, 2064, 3054, + 32 genes
333929	333929	105	0.59	0.558	0.998	3115, 5777, 116985, 1800, + 33 genes
51201	51201	57	0.59	0.558	0.998	1806, 51170, 143, 29117, + 9 genes
4854	4854	102	0.58	0.562	0.998	25959, 7837, 79414, 64423, + 32 genes
23152	23152	299	0.57	0.566	0.998	10440, 10001, 6921, 10190, + 77 genes
84905	84905	59	0.57	0.566	0.998	79874, 4221, 10919, 10101, + 14 genes
3169	3169	767	0.57	0.568	0.998	2013, 1844, 9, 8061, + 169 genes
55502	55502	80	0.57	0.568	0.998	3833, 6603, 83463, 5931, + 19 genes
2909	2909	99	0.57	0.571	0.998	8502, 23357, 29080, 55662, + 22 genes
23060	23060	73	0.57	0.572	0.998	54878, 51069, 4299, 51022, + 14 genes
84885	84885	86	0.56	0.575	0.998	53, 83463, 26578, 221037, + 27 genes
84256	84256	119	0.56	0.577	0.998	79903, 57223, 3911, 79777, + 36 genes
57410	57410	119	0.55	0.579	0.998	5331, 2620, 5447, 5211, + 33 genes
9219	9219	117	0.55	0.579	0.998	1616, 5331, 55723, 79829, + 37 genes
10467	10467	186	0.55	0.58	0.998	126299, 23049, 373156, 4357, + 39 genes
79191	79191	31	0.55	0.581	0.998	24142, 3075, 10097, 10484, + 2 genes
80139	80139	160	0.55	0.584	0.998	9070, 1054, 5595, 1952, + 46 genes
140467	140467	162	0.55	0.585	0.998	4357, 6160, 10908, 10400, + 22 genes
158431	158431	45	0.55	0.585	0.998	9738, 23196, 27332, 80010, + 9 genes
10363	10363	37	0.54	0.588	0.998	5955, 54956, 83440, 56983, + 7 genes
10608	10608	226	0.54	0.589	0.998	10196, 10054, 5933, 6996, + 52 genes
2001	2001	70	0.54	0.589	0.998	1847, 51442, 64764, 2568, + 3 genes
257101	257101	53	0.54	0.589	0.998	5698, 80833, 51056, 6373, + 5 genes
2637	2637	34	0.54	0.589	0.998	6382, 579, 7227, 6241
4613	4613	73	0.54	0.591	0.998	51442, 9334, 84612, 8878, + 16 genes
23440	23440	31	0.54	0.592	0.998	2305, 54821, 8604, 376412, + 6 genes
3054	3054	259	0.53	0.594	0.998	23294, 23129, 55860, 9203, + 51 genes
10838	10838	44	0.53	0.596	0.998	79068, 7355, 57089, 80755, + 19 genes
29893	29893	153	0.53	0.596	0.998	3833, 332, 146909, 5827, + 20 genes
10155	10155	100	0.53	0.597	0.998	10298, 6904, 22870, 3978, + 13 genes
124411	124411	86	0.53	0.597	0.998	9738, 23042, 51108, 93129, + 20 genes
1029	1029	129	0.52	0.602	0.998	146909, 57819, 6502, 9918, + 38 genes
57593	57593	183	0.52	0.602	0.998	23560, 55224, 51678, 55884, + 55 genes
10362	10362	103	0.52	0.603	0.998	79874, 55454, 9821, 27134, + 28 genes
8187	8187	81	0.52	0.605	0.998	10253, 6591, 29922, 2288, + 15 genes
4782	4782	85	0.51	0.608	0.998	1793, 8896, 55486, 29080, + 10 genes
6944	6944	164	0.51	0.608	0.998	490, 5867, 51107, 1945, + 64 genes
57615	57615	103	0.51	0.609	0.998	983, 259266, 2305, 146909, + 33 genes
4610	4610	78	0.51	0.612	0.998	5867, 1945, 2950, 1016, + 12 genes
2298	2298	32	0.51	0.613	0.998	79724, 2063, 60492, 29803, + 2 genes
57547	57547	67	0.51	0.613	0.998	56342, 2193, 7277, 51073, + 19 genes
2626	2626	54	0.5	0.614	0.998	2288, 8604, 444, 2208, + 5 genes
29956	29956	92	0.5	0.618	0.998	223, 1382, 6391, 10401, + 19 genes
1870	1870	154	0.49	0.621	0.998	6890, 3833, 10403, 2305, + 42 genes
7775	7775	98	0.49	0.622	0.998	9984, 5694, 3925, 5306, + 23 genes
5253	5253	115	0.49	0.623	0.998	6921, 1793, 54662, 7336, + 28 genes
130557	130557	101	0.49	0.625	0.998	55716, 7005, 9897, 79874, + 14 genes
4861	4861	167	0.49	0.626	0.998	92579, 23560, 8445, 29982, + 35 genes
60313	60313	84	0.49	0.626	0.998	23254, 9202, 6342, 26292, + 28 genes
51282	51282	171	0.49	0.627	0.998	55501, 8971, 2063, 10400, + 25 genes
3059	3059	262	0.48	0.631	0.998	55013, 3115, 5777, 26578, + 59 genes
2063	2063	102	0.48	0.632	0.998	10298, 9194, 10994, 221037, + 27 genes
6887	6887	25	0.48	0.632	0.998	11046
150921	150921	29	0.48	0.633	0.998	2079, 32, 10351, 1003, + 6 genes
